NDA;POWER
1;606.495
2;606.333
3;606.149
4;605.943
5;605.714
6;605.464
7;605.192
8;604.897
9;604.581
10;604.242
11;603.882
12;603.499
13;603.094
14;602.667
15;602.219
16;601.748
17;601.255
18;600.74
19;600.204
20;599.645
21;599.065
22;598.462
23;597.838
24;597.192
25;596.525
26;595.835
27;595.125
28;594.392
29;593.638
30;592.863
31;592.066
32;591.248
33;590.409
34;589.549
35;588.668
36;587.767
37;586.844
38;585.901
39;584.937
40;583.953
41;582.949
42;581.925
43;580.881
44;579.817
45;578.734
46;577.632
47;576.51
48;575.369
49;574.21
50;573.031
51;571.835
52;570.621
53;569.389
54;568.139
55;566.872
56;565.588
57;564.287
58;562.969
59;561.636
60;560.286
61;558.921
62;557.541
63;556.146
64;554.736
65;553.312
66;551.874
67;550.423
68;548.959
69;547.482
70;545.992
71;544.491
72;542.978
73;541.454
74;539.92
75;538.375
76;536.82
77;535.257
78;533.684
79;532.103
80;530.514
81;528.918
82;527.315
83;525.705
84;524.09
85;522.469
86;520.843
87;519.213
88;517.579
89;515.942
90;514.301
91;512.659
92;511.015
93;509.37
94;507.725
95;506.079
96;504.434
97;502.79
98;501.148
99;499.508
100;497.871
101;496.237
102;494.607
103;492.982
104;491.362
105;489.748
106;488.141
107;486.54
108;484.946
109;483.361
110;481.784
111;480.217
112;478.659
113;477.112
114;475.576
115;474.051
116;472.538
117;471.038
118;469.552
119;468.078
120;466.62
121;465.176
122;463.748
123;462.335
124;460.939
125;459.561
126;458.199
127;456.856
128;455.531
129;454.226
130;452.94
131;451.674
132;450.429
133;449.204
134;448.001
135;446.821
136;445.662
137;444.526
138;443.63
139;444.361
140;445.071
141;445.759
142;446.427
143;447.073
144;447.699
145;448.302
146;448.885
147;449.446
148;449.986
149;450.504
150;451.001
151;451.477
152;451.932
153;452.365
154;452.776
155;453.167
156;453.536
157;453.884
158;454.211
159;454.516
160;454.8
161;455.063
162;455.305
163;455.525
164;455.724
165;455.902
166;456.059
167;456.195
168;456.31
169;456.404
170;456.476
171;456.528
172;456.558
173;456.567
174;456.556
175;456.523
176;456.47
177;456.395
178;456.3
179;456.184
180;456.047
181;455.889
182;455.709
183;455.51
184;455.289
185;455.048
186;454.785
187;454.502
188;454.198
189;453.874
190;453.528
191;453.162
192;452.775
193;452.368
194;451.94
195;451.491
196;451.021
197;450.531
198;450.02
199;449.488
200;448.936
201;448.364
202;447.771
203;447.157
204;446.524
205;445.869
206;445.194
207;444.499
208;443.784
209;443.048
210;442.291
211;441.518
212;441.66
213;442.726
214;443.815
215;444.927
216;446.062
217;447.219
218;448.397
219;449.597
220;450.817
221;452.058
222;453.318
223;454.598
224;455.897
225;457.214
226;458.549
227;459.901
228;461.27
229;462.655
230;464.056
231;465.473
232;466.904
233;468.349
234;469.808
235;471.28
236;472.765
237;474.261
238;475.77
239;477.289
240;478.818
241;480.357
242;481.906
243;483.463
244;485.029
245;486.602
246;488.182
247;489.768
248;491.36
249;492.958
250;494.56
251;496.167
252;497.777
253;499.391
254;501.007
255;502.625
256;504.245
257;505.865
258;507.486
259;509.107
260;510.727
261;512.346
262;513.963
263;515.578
264;517.19
265;518.799
266;520.404
267;522.005
268;523.601
269;525.191
270;526.776
271;528.355
272;529.927
273;531.492
274;533.05
275;534.599
276;536.14
277;537.672
278;539.195
279;540.707
280;542.21
281;543.702
282;545.183
283;546.653
284;548.111
285;549.557
286;550.99
287;552.411
288;553.818
289;555.212
290;556.592
291;557.958
292;559.309
293;560.646
294;561.967
295;563.273
296;564.564
297;565.838
298;567.097
299;568.339
300;569.564
301;570.772
302;571.963
303;573.137
304;574.293
305;575.431
306;576.551
307;577.654
308;578.737
309;579.802
310;580.849
311;581.876
312;582.884
313;583.874
314;584.843
315;585.794
316;586.724
317;587.635
318;588.526
319;589.397
320;590.248
321;591.079
322;591.889
323;592.679
324;593.448
325;594.197
326;594.926
327;595.633
328;596.32
329;596.985
330;597.63
331;598.254
332;598.857
333;599.438
334;599.999
335;600.538
336;601.056
337;601.552
338;602.027
339;602.481
340;602.913
341;603.324
342;603.713
343;604.081
344;604.427
345;604.752
346;605.055
347;605.336
348;605.595
349;605.833
350;606.049
351;606.244
352;606.416
353;606.567
354;606.695
355;606.802
356;606.888
357;606.951
358;606.992
359;607.011
360;607.009
361;606.984
362;606.938
363;606.869
364;606.779
365;606.666
