altitude;J;Percent_transm
0;36.6202;100
1;36.6203;100
2;36.6204;100.001
3;36.6206;100.001
4;36.6207;100.002
5;36.6209;100.002
6;36.621;100.002
7;36.6212;100.003
8;36.6213;100.003
9;36.6214;100.003
10;36.6216;100.004
11;36.6217;100.004
12;36.6219;100.005
13;36.622;100.005
14;36.6222;100.005
15;36.6223;100.006
16;36.6224;100.006
17;36.6226;100.007
18;36.6227;100.007
19;36.6228;100.007
20;36.623;100.008
21;36.6231;100.008
22;36.6233;100.008
23;36.6234;100.009
24;36.6235;100.009
25;36.6237;100.01
26;36.6238;100.01
27;36.624;100.01
28;36.6241;100.011
29;36.6242;100.011
30;36.6244;100.011
31;36.6245;100.012
32;36.6246;100.012
33;36.6248;100.013
34;36.6249;100.013
35;36.6251;100.013
36;36.6252;100.014
37;36.6254;100.014
38;36.6255;100.015
39;36.6256;100.015
40;36.6258;100.015
41;36.6259;100.016
42;36.6261;100.016
43;36.6262;100.016
44;36.6263;100.017
45;36.6265;100.017
46;36.6266;100.018
47;36.6268;100.018
48;36.6269;100.018
49;36.6271;100.019
50;36.6272;100.019
51;36.6273;100.02
52;36.6275;100.02
53;36.6276;100.02
54;36.6277;100.021
55;36.6279;100.021
56;36.628;100.021
57;36.6281;100.022
58;36.6283;100.022
59;36.6284;100.023
60;36.6286;100.023
61;36.6288;100.023
62;36.6289;100.024
63;36.629;100.024
64;36.6292;100.025
65;36.6293;100.025
66;36.6294;100.025
67;36.6296;100.026
68;36.6297;100.026
69;36.6299;100.027
70;36.63;100.027
71;36.6302;100.027
72;36.6303;100.028
73;36.6305;100.028
74;36.6306;100.029
75;36.6308;100.029
76;36.6309;100.029
77;36.631;100.03
78;36.6312;100.03
79;36.6313;100.03
80;36.6315;100.031
81;36.6316;100.031
82;36.6317;100.032
83;36.6319;100.032
84;36.632;100.032
85;36.6322;100.033
86;36.6323;100.033
87;36.6325;100.034
88;36.6326;100.034
89;36.6328;100.034
90;36.6329;100.035
91;36.633;100.035
92;36.6332;100.035
93;36.6333;100.036
94;36.6335;100.036
95;36.6336;100.037
96;36.6338;100.037
97;36.6339;100.037
98;36.634;100.038
99;36.6342;100.038
100;36.6343;100.039
101;36.6344;100.039
102;36.6346;100.039
103;36.6347;100.04
104;36.6348;100.04
105;36.635;100.04
106;36.6351;100.041
107;36.6353;100.041
108;36.6354;100.042
109;36.6356;100.042
110;36.6357;100.042
111;36.6359;100.043
112;36.636;100.043
113;36.6361;100.044
114;36.6363;100.044
115;36.6364;100.044
116;36.6366;100.045
117;36.6367;100.045
118;36.6369;100.046
119;36.637;100.046
120;36.6371;100.046
121;36.6373;100.047
122;36.6374;100.047
123;36.6375;100.047
124;36.6377;100.048
125;36.6378;100.048
126;36.6379;100.048
127;36.6381;100.049
128;36.6382;100.049
129;36.6384;100.05
130;36.6385;100.05
131;36.6386;100.05
132;36.6388;100.051
133;36.6389;100.051
134;36.6391;100.052
135;36.6392;100.052
136;36.6394;100.052
137;36.6395;100.053
138;36.6396;100.053
139;36.6397;100.053
140;36.6399;100.054
141;36.64;100.054
142;36.6402;100.055
143;36.6403;100.055
144;36.6405;100.055
145;36.6406;100.056
146;36.6408;100.056
147;36.6409;100.057
148;36.641;100.057
149;36.6412;100.057
150;36.6413;100.058
151;36.6415;100.058
152;36.6416;100.059
153;36.6417;100.059
154;36.6419;100.059
155;36.642;100.06
156;36.6421;100.06
157;36.6423;100.06
158;36.6424;100.061
159;36.6425;100.061
160;36.6427;100.061
161;36.6428;100.062
162;36.643;100.062
163;36.6431;100.063
164;36.6433;100.063
165;36.6434;100.063
166;36.6435;100.064
167;36.6437;100.064
168;36.6438;100.065
169;36.6439;100.065
