lat;J;ReflPercent
0;897.942;100
-1;896.507;99.8402
-2;894.988;99.671
-3;893.385;99.4925
-4;891.694;99.3041
-5;889.915;99.106
-6;888.041;98.8973
-7;886.076;98.6785
-8;884.012;98.4487
-9;881.852;98.208
-10;879.586;97.9558
-11;877.218;97.692
-12;874.742;97.4163
-13;872.154;97.1281
-14;869.448;96.8267
-15;866.627;96.5126
-16;863.682;96.1846
-17;860.608;95.8422
-18;857.402;95.4852
-19;854.058;95.1128
-20;850.573;94.7246
-21;846.94;94.3201
-22;843.152;93.8982
-23;839.205;93.4586
-24;835.088;93.0002
-25;830.797;92.5223
-26;826.323;92.0241
-27;821.657;91.5044
-28;816.788;90.9622
-29;811.713;90.397
-30;806.412;89.8067
-31;800.882;89.1908
-32;795.107;88.5477
-33;789.075;87.8759
-34;782.769;87.1737
-35;776.177;86.4395
-36;769.278;85.6712
-37;762.057;84.867
-38;754.494;84.0248
-39;746.57;83.1423
-40;738.252;82.216
-41;729.527;81.2443
-42;720.36;80.2234
-43;710.721;79.15
-44;700.578;78.0204
-45;689.889;76.83
-46;678.624;75.5754
-47;666.727;74.2506
-48;654.151;72.85
-49;640.843;71.368
-50;626.746;69.798
-51;611.782;68.1315
-52;595.883;66.361
-53;578.972;64.4776
-54;560.941;62.4696
-55;541.689;60.3256
-56;521.107;58.0334
-57;499.065;55.5787
-58;475.419;52.9454
-59;450.014;50.1161
-60;422.679;47.072
-61;393.236;43.793
-62;361.497;40.2584
-63;327.279;36.4477
-64;290.414;32.3422
-65;250.77;27.9272
-66;208.258;23.1928
-67;162.869;18.138
-68;114.692;12.7727
-69;64.6567;7.20054
