rel_air_humid;J;Percent_transm
0.01;1053.9;100
0.02;1040.07;98.687
0.03;1030.19;97.75
0.04;1022.29;97.0007
0.05;1015.61;96.3666
0.06;1009.77;95.8119
0.07;1004.54;95.3157
0.08;999.947;94.8803
0.09;995.575;94.4655
0.1;991.51;94.0798
0.11;987.708;93.719
0.12;984.121;93.3786
0.13;980.724;93.0563
0.14;977.491;92.7496
0.15;974.405;92.4567
0.16;971.444;92.1758
0.17;968.598;91.9057
0.18;965.853;91.6453
0.19;963.201;91.3936
0.2;960.635;91.1501
0.21;958.146;90.914
0.22;955.727;90.6845
0.23;953.371;90.4609
0.24;951.075;90.243
0.25;948.837;90.0307
0.26;946.647;89.823
0.27;944.507;89.6199
0.28;942.412;89.4211
0.29;940.362;89.2265
0.3;938.349;89.0355
0.31;936.374;88.8482
0.32;934.434;88.6641
0.33;932.526;88.483
0.34;930.651;88.3051
0.35;928.805;88.13
0.36;926.989;87.9577
0.37;925.199;87.7878
0.38;923.433;87.6203
0.39;921.692;87.455
0.4;919.978;87.2924
0.41;918.284;87.1316
0.42;916.613;86.9731
0.43;914.958;86.8161
0.44;913.326;86.6613
0.45;911.712;86.5081
0.46;910.12;86.357
0.47;908.541;86.2072
0.48;906.981;86.0592
0.49;905.437;85.9127
0.5;903.908;85.7676
0.51;902.395;85.624
0.52;900.896;85.4818
0.53;899.412;85.341
0.54;897.941;85.2015
0.55;896.483;85.0631
0.56;895.038;84.926
0.57;893.606;84.7901
0.58;892.186;84.6554
0.59;890.776;84.5216
0.6;889.38;84.3891
0.61;887.994;84.2576
0.62;886.617;84.1269
0.63;885.255;83.9977
0.64;883.9;83.8691
0.65;882.555;83.7415
0.66;881.221;83.6149
0.67;879.896;83.4892
0.68;878.579;83.3643
0.69;877.271;83.2402
0.7;875.975;83.1172
0.71;874.684;82.9947
0.72;873.402;82.8731
0.73;872.132;82.7525
0.74;870.864;82.6322
0.75;869.607;82.513
0.76;868.359;82.3945
0.77;867.115;82.2765
0.78;865.882;82.1595
0.79;864.654;82.043
0.8;863.433;81.9271
0.81;862.221;81.8121
0.82;861.012;81.6974
0.83;859.813;81.5837
0.839999;858.619;81.4704
0.849999;857.432;81.3577
0.859999;856.251;81.2457
0.869999;855.074;81.134
0.879999;853.907;81.0232
0.889999;852.742;80.9128
0.899999;851.587;80.8031
0.909999;850.432;80.6936
0.919999;849.288;80.585
0.929999;848.149;80.4769
0.939999;847.015;80.3693
0.949999;845.884;80.262
0.959999;844.758;80.1551
0.969999;843.642;80.0492
0.979999;842.525;79.9432
0.989999;841.415;79.8379
0.999999;840.312;79.7333
