Hora local: 6.48 ; S_z: 0.0140112 ; J: 31.4304
Hora local: 6.56 ; S_z: 0.0327048 ; J: 90.0721
Hora local: 6.64 ; S_z: 0.0513406 ; J: 147.596
Hora local: 6.72 ; S_z: 0.0699104 ; J: 200.462
Hora local: 6.8 ; S_z: 0.0884062 ; J: 249.042
Hora local: 6.88 ; S_z: 0.10682 ; J: 293.686
Hora local: 6.96 ; S_z: 0.125143 ; J: 334.681
Hora local: 7.04 ; S_z: 0.143369 ; J: 372.273
Hora local: 7.12 ; S_z: 0.161488 ; J: 406.734
Hora local: 7.2 ; S_z: 0.179492 ; J: 438.351
Hora local: 7.28 ; S_z: 0.197375 ; J: 467.392
Hora local: 7.36 ; S_z: 0.215127 ; J: 494.12
Hora local: 7.44 ; S_z: 0.232742 ; J: 518.759
Hora local: 7.52 ; S_z: 0.250212 ; J: 541.521
Hora local: 7.6 ; S_z: 0.267528 ; J: 562.598
Hora local: 7.68 ; S_z: 0.284684 ; J: 582.152
Hora local: 7.76 ; S_z: 0.301671 ; J: 600.325
Hora local: 7.84 ; S_z: 0.318483 ; J: 617.253
Hora local: 7.92 ; S_z: 0.335111 ; J: 633.047
Hora local: 8 ; S_z: 0.351549 ; J: 647.812
Hora local: 8.08 ; S_z: 0.36779 ; J: 661.632
Hora local: 8.16 ; S_z: 0.383826 ; J: 674.591
Hora local: 8.24 ; S_z: 0.39965 ; J: 686.759
Hora local: 8.32 ; S_z: 0.415255 ; J: 698.196
Hora local: 8.4 ; S_z: 0.430635 ; J: 708.961
Hora local: 8.48 ; S_z: 0.445783 ; J: 719.107
Hora local: 8.56 ; S_z: 0.460692 ; J: 728.68
Hora local: 8.64 ; S_z: 0.475355 ; J: 737.714
Hora local: 8.72 ; S_z: 0.489766 ; J: 746.258
Hora local: 8.8 ; S_z: 0.50392 ; J: 754.33
Hora local: 8.88 ; S_z: 0.517808 ; J: 761.97
Hora local: 8.96 ; S_z: 0.531427 ; J: 769.208
Hora local: 9.04 ; S_z: 0.544768 ; J: 776.063
Hora local: 9.12 ; S_z: 0.557828 ; J: 782.559
Hora local: 9.2 ; S_z: 0.570599 ; J: 788.719
Hora local: 9.28 ; S_z: 0.583077 ; J: 794.564
Hora local: 9.36 ; S_z: 0.595255 ; J: 800.102
Hora local: 9.44 ; S_z: 0.60713 ; J: 805.356
Hora local: 9.52 ; S_z: 0.618694 ; J: 810.344
Hora local: 9.6 ; S_z: 0.629944 ; J: 815.073
Hora local: 9.68 ; S_z: 0.640874 ; J: 819.558
Hora local: 9.76 ; S_z: 0.651479 ; J: 823.812
Hora local: 9.84 ; S_z: 0.661755 ; J: 827.842
Hora local: 9.92 ; S_z: 0.671698 ; J: 831.656
