HORALOCAL;J;POWER;ReflecPercent;ZEN;AZIM;Sz
6.48;148.897;121.306;81.4695;1.55678;1.23715;0.0140112
6.56;299.079;244.245;81.6657;1.53809;1.23021;0.0327048
6.64;395.247;323.553;81.8608;1.51943;1.22315;0.0513406
6.72;468.774;384.652;82.0548;1.50083;1.21595;0.0699104
6.8;529.61;435.591;82.2476;1.48227;1.20861;0.0884062
6.88;581.547;479.421;82.4391;1.46377;1.20113;0.10682
6.96;626.569;517.728;82.6291;1.44532;1.1935;0.125143
7.04;665.983;551.552;82.8178;1.42693;1.18571;0.143369
7.12;700.764;581.668;83.0049;1.4086;1.17777;0.161488
7.2;731.657;608.668;83.1904;1.39033;1.16965;0.179492
7.28;759.268;633.033;83.3742;1.37212;1.16137;0.197375
7.36;784.076;655.145;83.5563;1.35397;1.1529;0.215127
7.44;806.473;675.314;83.7366;1.3359;1.14425;0.232742
7.52;826.791;693.802;83.9151;1.3179;1.13541;0.250212
7.6;845.296;710.822;84.0916;1.29997;1.12636;0.267528
7.68;862.213;726.553;84.2661;1.28212;1.1171;0.284684
7.76;877.73;741.142;84.4385;1.26435;1.10763;0.301671
7.84;892.01;754.719;84.6088;1.24667;1.09793;0.318483
7.92;905.188;767.39;84.7769;1.22907;1.08799;0.335111
8;917.383;779.25;84.9427;1.21157;1.07781;0.351549
8.08;928.694;790.377;85.1063;1.19417;1.06737;0.36779
8.16;939.209;800.839;85.2674;1.17686;1.05667;0.383826
8.24;949;810.695;85.4262;1.15966;1.04569;0.39965
8.32;958.143;820.003;85.5825;1.14257;1.03443;0.415255
8.4;966.686;828.8;85.7362;1.1256;1.02288;0.430635
8.48;974.69;837.135;85.8873;1.10875;1.01101;0.445783
8.56;982.192;845.037;86.0358;1.09202;0.99882;0.460692
8.64;989.236;852.54;86.1816;1.07543;0.986298;0.475355
8.72;995.858;859.671;86.3247;1.05897;0.973429;0.489766
8.8;1002.09;866.457;86.4649;1.04267;0.9602;0.50392
8.88;1007.8;872.774;86.6023;1.02651;0.946597;0.517808
8.96;1013.33;878.93;86.7369;1.01051;0.932605;0.531427
9.04;1018.55;884.798;86.8685;0.994683;0.91821;0.544768
9.12;1023.48;890.394;86.9971;0.97903;0.903396;0.557828
9.2;1028.12;895.729;87.1227;0.963561;0.888147;0.570599
9.28;1032.53;900.832;87.2452;0.948285;0.872449;0.583077
9.36;1036.68;905.693;87.3647;0.933213;0.856284;0.595255
9.44;1040.61;910.339;87.481;0.918353;0.839636;0.60713
9.52;1044.34;914.777;87.5941;0.903717;0.822488;0.618694
9.6;1047.85;919.006;87.7039;0.889316;0.804825;0.629944
9.68;1051.17;923.041;87.8106;0.875161;0.786628;0.640874
9.76;1054.32;926.894;87.9139;0.861264;0.767882;0.651479
9.84;1057.3;930.569;88.014;0.847639;0.748571;0.661755
9.92;1060.11;934.065;88.1106;0.834298;0.728678;0.671698
10;1062.76;937.392;88.2039;0.821256;0.708188;0.681303
10.08;1065.27;940.563;88.2938;0.808526;0.687087;0.690565
10.16;1067.63;943.571;88.3802;0.796125;0.665361;0.699481
10.24;1069.86;946.428;88.4631;0.784067;0.642998;0.708047
10.32;1071.95;949.131;88.5426;0.772369;0.619987;0.716259
10.4;1073.92;951.691;88.6185;0.761048;0.596319;0.724114
10.48;1075.77;954.107;88.6909;0.75012;0.571987;0.731607
10.56;1077.5;956.381;88.7597;0.739603;0.546987;0.738736
10.64;1079.12;958.523;88.8249;0.729515;0.521318;0.745498
10.72;1080.63;960.529;88.8865;0.719873;0.49498;0.751889
10.8;1082.02;962.4;88.9444;0.710697;0.467978;0.757908
10.88;1083.32;964.143;88.9987;0.702003;0.440322;0.76355
10.96;1084.52;965.758;89.0493;0.693812;0.412024;0.768814
11.04;1085.62;967.246;89.0963;0.68614;0.3831;0.773697
11.12;1086.63;968.612;89.1395;0.679005;0.353574;0.778198
11.2;1087.54;969.855;89.179;0.672424;0.323471;0.782314
11.28;1088.35;970.972;89.2148;0.666414;0.292823;0.786044
11.36;1089.08;971.971;89.2469;0.66099;0.261667;0.789385
11.44;1089.72;972.848;89.2752;0.656167;0.230045;0.792337
11.52;1090.27;973.612;89.2998;0.651958;0.198001;0.794897
11.6;1090.74;974.256;89.3205;0.648375;0.165588;0.797066
11.68;1091.12;974.781;89.3376;0.645429;0.132859;0.798842
