xpos;power;ReflPercent
-100;786.613;72.5604
-99.9;786.632;72.5622
-99.8;786.652;72.564
-99.7;786.672;72.5659
-99.6;786.691;72.5677
-99.5;786.711;72.5695
-99.4;786.731;72.5713
-99.3;786.751;72.5732
-99.2;786.771;72.575
-99.1;786.791;72.5768
-99;786.811;72.5787
-98.9;786.831;72.5805
-98.8;786.851;72.5824
-98.7;786.871;72.5842
-98.6;786.891;72.5861
-98.5;786.911;72.5879
-98.4;786.931;72.5898
-98.3;786.951;72.5917
-98.2;786.972;72.5936
-98.1;786.992;72.5954
-98;787.012;72.5973
-97.9;787.033;72.5992
-97.8;787.053;72.6011
-97.7;787.074;72.603
-97.6;787.094;72.6049
-97.5;787.115;72.6068
-97.4;787.135;72.6087
-97.3;787.156;72.6105
-97.2;787.177;72.6125
-97.1;787.198;72.6144
-97;787.218;72.6163
-96.9;787.239;72.6182
-96.8;787.26;72.6201
-96.7001;787.281;72.6221
-96.6001;787.302;72.624
-96.5001;787.323;72.6259
-96.4001;787.344;72.6279
-96.3001;787.365;72.6298
-96.2001;787.386;72.6318
-96.1001;787.407;72.6337
-96.0001;787.428;72.6357
-95.9001;787.45;72.6376
-95.8001;787.471;72.6396
-95.7001;787.492;72.6416
-95.6001;787.514;72.6435
-95.5001;787.535;72.6455
-95.4001;787.557;72.6475
-95.3001;787.578;72.6495
-95.2001;787.6;72.6515
-95.1001;787.621;72.6535
-95.0001;787.643;72.6554
-94.9001;787.664;72.6574
-94.8001;787.686;72.6594
-94.7001;787.708;72.6615
-94.6001;787.73;72.6635
-94.5001;787.752;72.6655
-94.4001;787.773;72.6675
-94.3001;787.795;72.6695
-94.2001;787.817;72.6716
-94.1001;787.84;72.6736
-94.0001;787.862;72.6756
-93.9001;787.884;72.6777
-93.8001;787.906;72.6797
-93.7001;787.928;72.6818
-93.6001;787.95;72.6838
-93.5001;787.973;72.6859
-93.4001;787.995;72.6879
-93.3001;788.017;72.69
-93.2001;788.04;72.6921
-93.1001;788.062;72.6941
-93.0001;788.085;72.6962
-92.9001;788.108;72.6983
-92.8001;788.13;72.7004
-92.7001;788.153;72.7025
-92.6001;788.176;72.7046
-92.5001;788.198;72.7067
-92.4001;788.221;72.7088
-92.3001;788.244;72.7109
-92.2001;788.267;72.713
-92.1001;788.29;72.7151
-92.0001;788.313;72.7173
-91.9001;788.336;72.7194
-91.8001;788.359;72.7215
-91.7001;788.382;72.7237
-91.6001;788.406;72.7258
-91.5001;788.429;72.728
-91.4001;788.452;72.7301
-91.3001;788.475;72.7323
-91.2001;788.499;72.7344
-91.1001;788.522;72.7366
-91.0001;788.546;72.7388
-90.9001;788.569;72.7409
-90.8001;788.593;72.7431
-90.7001;788.617;72.7453
-90.6001;788.64;72.7475
-90.5001;788.664;72.7497
-90.4001;788.688;72.7519
-90.3001;788.712;72.7541
-90.2001;788.736;72.7563
-90.1002;788.76;72.7585
-90.0002;788.784;72.7607
-89.9002;788.808;72.7629
-89.8002;788.832;72.7651
-89.7002;788.856;72.7674
-89.6002;788.88;72.7696
-89.5002;788.905;72.7719
-89.4002;788.929;72.7741
-89.3002;788.953;72.7763
-89.2002;788.978;72.7786
-89.1002;789.002;72.7809
-89.0002;789.027;72.7831
-88.9002;789.052;72.7854
-88.8002;789.076;72.7877
-88.7002;789.101;72.79
