NDA;J;POWER;ReflPercent;ZEN;Sz
1;974.971;713.17;73.1478;1.5708;0.997539
2;974.981;712.665;73.0953;0.0701775;0.997645
3;974.982;712.115;73.0387;0.0686383;0.997758
4;974.977;711.52;72.9781;0.066981;0.997875
5;974.963;710.879;72.9134;0.0652067;0.997996
6;974.941;710.192;72.8446;0.0633151;0.998121
7;974.912;709.461;72.7719;0.0613069;0.998249
8;974.871;708.683;72.695;0.0591834;0.998379
9;974.822;707.859;72.6142;0.0569443;0.99851
10;974.765;706.991;72.5293;0.0545906;0.998642
11;974.699;706.076;72.4404;0.0521241;0.998773
12;974.622;705.116;72.3476;0.0495434;0.998903
13;974.537;704.11;72.2507;0.0468513;0.99903
14;974.442;703.058;72.1498;0.0440464;0.999154
15;974.336;701.961;72.0451;0.0411317;0.999274
16;974.22;700.818;71.9363;0.038107;0.999388
17;974.095;699.63;71.8236;0.0349744;0.999497
18;973.959;698.398;71.7071;0.0317321;0.999597
19;973.812;697.119;71.5865;0.0283843;0.999689
20;973.654;695.794;71.4622;0.0249293;0.999772
21;973.485;694.425;71.3339;0.0213707;0.999843
22;973.304;693.01;71.2018;0.0177067;0.999903
23;973.113;691.551;71.0659;0.0139397;0.999949
24;972.909;690.045;70.926;0.0100721;0.999981
25;972.693;688.5;70.7829;0.00609864;0.999998
26;972.465;688.368;70.7859;0.00204263;0.999998
27;972.225;689.662;70.9364;0.00212837;0.99998
28;971.973;690.974;71.0898;0.00639444;0.999942
29;971.708;692.306;71.2463;0.0107533;0.999884
30;971.429;693.655;71.4056;0.0152076;0.999805
31;971.138;695.022;71.5678;0.0197531;0.999703
32;970.833;696.405;71.7328;0.0243927;0.999576
33;970.513;697.803;71.9004;0.0291224;0.999424
34;970.182;699.217;72.0707;0.0339398;0.999246
35;969.836;700.643;72.2434;0.0388461;0.999039
36;969.476;702.082;72.4187;0.0438375;0.998804
37;969.102;703.533;72.5964;0.0489135;0.998538
38;968.713;704.994;72.7763;0.0540737;0.998241
39;968.308;706.464;72.9586;0.0593143;0.997912
40;967.891;707.944;73.1429;0.0646362;0.997549
41;967.458;709.431;73.3294;0.0700354;0.99715
42;967.008;710.924;73.5179;0.0755123;0.996716
43;966.545;712.423;73.7083;0.0810644;0.996245
44;966.065;713.927;73.9005;0.0866898;0.995735
45;965.571;715.435;74.0945;0.0923877;0.995187
46;965.059;716.944;74.2901;0.098156;0.994598
47;964.534;718.456;74.4874;0.103992;0.993968
48;963.992;719.968;74.6862;0.109896;0.993295
49;963.433;721.48;74.8864;0.115864;0.99258
50;962.859;722.991;75.088;0.121896;0.991821
51;962.267;724.498;75.2908;0.12799;0.991016
52;961.66;726.004;75.4948;0.134143;0.990166
53;961.038;727.505;75.6999;0.140354;0.98927
54;960.397;729;75.9061;0.146621;0.988327
55;959.74;730.489;76.1132;0.152943;0.987336
56;959.069;731.972;76.3212;0.159317;0.986296
57;958.378;733.445;76.5299;0.165741;0.985208
58;957.674;734.912;76.7393;0.172214;0.98407
59;956.951;736.367;76.9493;0.178734;0.982881
60;956.211;737.812;77.1599;0.185298;0.981643
61;955.457;739.246;77.3709;0.191906;0.980353
62;954.686;740.667;77.5823;0.198554;0.979012
63;953.896;742.074;77.794;0.205241;0.977619
64;953.09;743.466;78.0059;0.211965;0.976175
65;952.269;744.845;78.2179;0.218724;0.974679
66;951.429;746.206;78.43;0.225515;0.973131
67;950.574;747.551;78.6421;0.232338;0.97153
68;949.702;748.879;78.854;0.239189;0.969878
69;948.814;750.188;79.0658;0.246068;0.968173
70;947.91;751.479;79.2774;0.252971;0.966416
71;946.993;752.752;79.4886;0.259897;0.964608
72;946.057;754.002;79.6995;0.266844;0.962748
73;945.105;755.232;79.9098;0.273809;0.960837
74;944.137;756.439;80.1197;0.280791;0.958874
75;943.158;757.628;80.3289;0.287788;0.956861
76;942.159;758.79;80.5374;0.294797;0.954798
77;941.145;759.929;80.7452;0.301816;0.952686
78;940.116;761.044;80.9522;0.308844;0.950524
79;939.074;762.137;81.1583;0.315878;0.948314
80;938.018;763.204;81.3634;0.322916;0.946057
81;936.947;764.245;81.5676;0.329956;0.943752
82;935.86;765.259;81.7707;0.336996;0.941401
83;934.763;766.25;81.9726;0.344035;0.939006
84;933.651;767.212;82.1733;0.351069;0.936566
85;932.521;768.144;82.3729;0.358096;0.934082
86;931.382;769.052;82.5711;0.365116;0.931557
87;930.232;769.934;82.7679;0.372125;0.92899
88;929.069;770.787;82.9633;0.379122;0.926383
89;927.893;771.61;83.1572;0.386104;0.923738
90;926.706;772.406;83.3496;0.393069;0.921055
91;925.506;773.172;83.5405;0.400016;0.918336
92;924.296;773.91;83.7297;0.406942;0.915582
93;923.075;774.619;83.9172;0.413845;0.912794
94;921.844;775.299;84.1031;0.420723;0.909974
95;920.606;775.953;84.2871;0.427575;0.907124
96;919.357;776.575;84.4694;0.434397;0.904245
97;918.098;777.167;84.6498;0.441189;0.901338
98;916.83;777.731;84.8283;0.447948;0.898405
99;915.558;778.269;85.0049;0.454672;0.895449
100;914.276;778.775;85.1795;0.461359;0.892469
