theta_deg;power;Reflec_Percent
-90;784.168;70.7107
-89.427;786.254;70.8988
-88.8541;788.334;71.0863
-88.2811;790.408;71.2733
-87.7082;792.476;71.4598
-87.1352;794.538;71.6458
-86.5623;796.594;71.8311
-85.9893;798.642;72.0159
-85.4163;800.685;72.2
-84.8434;802.72;72.3836
-84.2704;804.749;72.5665
-83.6975;806.77;72.7487
-83.1245;808.784;72.9304
-82.5515;810.791;73.1113
-81.9786;812.79;73.2916
-81.4056;814.781;73.4712
-80.8327;816.765;73.65
-80.2597;818.74;73.8281
-79.6868;820.708;74.0056
-79.1138;822.667;74.1822
-78.5408;824.618;74.3581
-77.9679;826.56;74.5332
-77.3949;828.493;74.7076
-76.822;830.418;74.8812
-76.249;832.334;75.0539
-75.6761;834.241;75.2259
-75.1031;836.138;75.3969
-74.5302;838.026;75.5672
-73.9572;839.905;75.7366
-73.3842;841.774;75.9052
-72.8113;843.634;76.0728
-72.2383;845.483;76.2396
-71.6654;847.323;76.4055
-71.0924;849.153;76.5705
-70.5195;850.972;76.7346
-69.9465;852.782;76.8977
-69.3735;854.58;77.06
-68.8006;856.369;77.2212
-68.2276;858.146;77.3815
-67.6547;859.913;77.5408
-67.0817;861.669;77.6992
-66.5087;863.415;77.8566
-65.9358;865.149;78.0129
-65.3628;866.872;78.1683
-64.7899;868.583;78.3226
-64.2169;870.284;78.4759
-63.644;871.972;78.6282
-63.071;873.649;78.7795
-62.498;875.315;78.9296
-61.9251;876.969;79.0788
-61.3521;878.61;79.2268
-60.7792;880.24;79.3738
-60.2062;881.858;79.5196
-59.6333;883.464;79.6644
-59.0603;885.057;79.8081
-58.4874;886.638;79.9507
-57.9144;888.206;80.0921
-57.3414;889.762;80.2324
-56.7685;891.306;80.3716
-56.1955;892.836;80.5096
-55.6226;894.354;80.6465
-55.0496;895.859;80.7822
-54.4766;897.351;80.9167
-53.9037;898.83;81.05
-53.3307;900.295;81.1822
-52.7578;901.748;81.3132
-52.1848;903.187;81.4429
-51.6119;904.613;81.5715
-51.0389;906.025;81.6989
-50.4659;907.424;81.825
-49.893;908.809;81.9499
-49.32;910.181;82.0736
-48.7471;911.538;82.196
-48.1741;912.882;82.3172
-47.6012;914.212;82.4371
-47.0282;915.528;82.5558
-46.4552;916.83;82.6732
-45.8823;918.118;82.7893
-45.3093;919.391;82.9041
-44.7364;920.65;83.0177
-44.1634;921.895;83.1299
-43.5905;923.126;83.2409
-43.0175;924.342;83.3505
-42.4445;925.543;83.4589
-41.8716;926.73;83.5659
-41.2986;927.902;83.6716
-40.7257;929.06;83.776
-40.1527;930.203;83.879
-39.5797;931.331;83.9807
-39.0067;932.444;84.0811
-38.4338;933.542;84.1801
-37.8608;934.625;84.2778
-37.2878;935.693;84.3741
-36.7149;936.745;84.469
-36.1419;937.783;84.5626
-35.5689;938.805;84.6548
-34.996;939.812;84.7456
-34.423;940.804;84.835
-33.85;941.781;84.9231
-33.277;942.742;85.0097
-32.7041;943.687;85.095
-32.1311;944.617;85.1788
-31.5581;945.531;85.2613
-30.9852;946.43;85.3423
-30.4122;947.313;85.4219
-29.8392;948.18;85.5001
-29.2662;949.032;85.5769
-28.6933;949.868;85.6523
-28.1203;950.688;85.7262
-27.5473;951.492;85.7987
-26.9743;952.28;85.8698
-26.4014;953.052;85.9394
-25.8284;953.808;86.0076
-25.2554;954.548;86.0743
-24.6825;955.272;86.1396
-24.1095;955.98;86.2034
-23.5365;956.672;86.2658
-22.9636;957.347;86.3267
-22.3906;958.007;86.3862
-21.8176;958.65;86.4442
-21.2446;959.277;86.5007
-20.6717;959.887;86.5557
-20.0987;960.481;86.6093
-19.5257;961.059;86.6614
-18.9528;961.62;86.712
-18.3798;962.165;86.7612
-17.8068;962.694;86.8088
-17.2339;963.206;86.855
-16.6609;963.701;86.8997
-16.0879;964.18;86.9429
-15.5149;964.643;86.9846
-14.942;965.089;87.0248
-14.369;965.518;87.0635
