arraySize;power;delta
3;2340.15;1559.12
5;3893.66;1553.51
7;5439.29;1545.63
9;6975.29;1536
11;8500.46;1525.16
13;10014.1;1513.61
15;11515.8;1501.76
17;13005.8;1489.94
19;14484.1;1478.38
21;15951.4;1467.23
23;17408;1456.59
25;18854.5;1446.51
27;20291.5;1437.01
29;21719.6;1428.09
31;23139.3;1419.74
33;24551.2;1411.92
35;25955.8;1404.61
37;27353.6;1397.77
39;28745;1391.37
41;30130.4;1385.38
43;31510.1;1379.77
45;32884.6;1374.51
47;34254.2;1369.57
49;35619.2;1364.93
51;36979.7;1360.57
53;38336.2;1356.45
55;39688.7;1352.57
57;41037.6;1348.9
59;42383.1;1345.44
61;43725.2;1342.16
63;45064.3;1339.05
65;46400.4;1336.1
67;47733.7;1333.3
69;49064.3;1330.63
71;50392.4;1328.09
73;51718.1;1325.68
75;53041.5;1323.37
77;54362.6;1321.17
79;55681.7;1319.07
81;56998.7;1317.05
83;58313.9;1315.13
85;59627.2;1313.28
87;60938.7;1311.51
89;62248.5;1309.82
91;63556.7;1308.18
93;64863.3;1306.62
95;66168.4;1305.11
97;67472;1303.66
99;68774.3;1302.26
