zpos;power
-0;970.81
0.1;973.478
0.2;976.121
0.3;978.739
0.4;981.331
0.5;983.896
0.6;986.434
0.7;988.945
0.8;991.428
0.9;993.882
1;996.308
1.1;998.704
1.2;1001.07
1.3;1003.41
1.4;1005.72
1.5;1007.99
1.6;1010.24
1.7;1012.45
1.8;1014.64
1.9;1016.79
2;1018.91
2.1;1021
2.2;1023.05
2.3;1025.08
2.4;1027.07
2.5;1029.03
2.6;1030.96
2.7;1032.86
2.8;1034.73
2.9;1036.56
3;1038.36
3.1;1040.13
3.2;1041.87
3.3;1043.58
3.4;1045.26
3.5;1046.9
3.6;1048.52
3.7;1050.1
3.8;1051.65
3.9;1053.17
4;1054.67
4.1;1056.13
4.2;1057.56
4.3;1058.97
4.4;1060.34
4.5;1061.69
4.6;1063.01
4.7;1064.3
4.8;1065.56
4.9;1066.79
5;1068
5.1;1069.18
5.2;1070.34
5.3;1071.47
5.4;1072.57
5.5;1073.65
5.6;1074.7
5.7;1075.73
5.8;1076.74
5.9;1077.72
6;1078.68
6.1;1079.61
6.2;1080.53
6.3;1081.42
6.4;1082.29
6.5;1083.13
6.6;1083.96
6.7;1084.76
6.8;1085.55
6.9;1086.31
7;1087.06
7.1;1087.79
7.2;1088.5
7.3;1089.19
7.4;1089.86
7.5;1090.51
7.6;1091.15
7.7;1091.77
7.79999;1092.37
7.89999;1092.96
7.99999;1093.53
8.09999;1094.08
8.2;1094.62
8.3;1095.14
8.4;1095.65
8.5;1096.15
8.6;1096.63
8.7;1097.1
8.8;1097.55
8.9;1097.99
9;1098.42
9.1;1098.84
9.2;1099.24
9.3;1099.63
9.4;1100.01
9.5;1100.38
9.6;1100.74
9.7;1101.08
9.8;1101.42
9.9;1101.74
10;1102.06
10.1;1102.36
10.2;1102.65
10.3;1102.94
10.4;1103.22
10.5;1103.48
10.6;1103.74
10.7;1103.99
10.8;1104.23
10.9;1104.46
11;1104.69
11.1;1104.9
11.2;1105.11
11.3;1105.31
11.4;1105.51
11.5;1105.7
11.6;1105.88
11.7;1106.05
11.8;1106.22
11.9;1106.38
12;1106.53
12.1;1106.68
12.2;1106.82
12.3;1106.96
12.4;1107.09
12.5;1107.21
12.6;1107.33
12.7;1107.45
12.8;1107.56
12.9;1107.66
13;1107.76
13.1;1107.85
13.2;1107.94
13.3;1108.03
13.4;1108.11
13.5;1108.19
13.6;1108.26
13.7;1108.33
13.8;1108.39
13.9;1108.45
14;1108.51
14.1;1108.56
14.2;1108.61
14.3;1108.66
14.4;1108.7
14.5;1108.74
14.6;1108.77
14.7;1108.81
14.8;1108.84
14.9;1108.86
15;1108.89
15.1;1108.91
15.2;1108.93
15.3;1108.94
15.4;1108.95
15.5;1108.96
15.6;1108.97
15.7;1108.98
15.8;1108.98
15.9;1108.98
16;1108.98
16.1;1108.98
16.2;1108.97
16.3;1108.96
16.4;1108.95
16.5;1108.94
16.6;1108.93
16.7;1108.91
16.8;1108.9
16.9;1108.88
17;1108.86
17.1;1108.83
17.2;1108.81
17.3;1108.78
17.4;1108.76
17.5;1108.73
17.6;1108.7
17.7;1108.67
17.8;1108.64
17.9;1108.6
18;1108.57
18.1;1108.53
18.2;1108.49
18.3;1108.45
18.4;1108.41
18.5;1108.37
18.6;1108.33
18.7;1108.29
18.8;1108.24
18.9;1108.2
19;1108.15
19.1;1108.11
19.2;1108.06
19.3;1108.01
19.4;1107.96
19.5;1107.91
19.6;1107.86
19.7;1107.81
19.8;1107.75
19.9;1107.7
20;1107.65
