 lambda;Ibare;Icorr
0.25;64.56;2.19678
0.26;122.5;6.80988
0.27;275;22.8959
0.28;162.5;18.9099
0.29;535;82.3276
0.3;527.5;0.00018502
0.31;602.51;4.02048
0.32;747.5;72.8556
0.33;997.5;261.735
0.34;960;334.011
0.35;955;386.073
0.36;940.001;420.476
0.37;1165;564.346
0.38;1210;628.329
0.39;1200;662.219
0.4;1702.49;991.082
0.41;1710;1043.44
0.42;1747.5;1111.64
0.43;1492.5;985.102
0.44;1755.02;1196.99
0.45;2099.99;1475.08
0.46;2032.49;1460.29
0.47;1979.99;1451.12
0.48;2055;1528.59
0.49;1920;1442.64
0.5;1862.52;1407.28
0.51;1952.5;1479.11
0.52;1802.49;1370.66
0.53;1947.49;1470.93
0.54;1857.5;1397.42
0.55;1902.5;1427.92
0.56;1840.02;1362.02
0.57;1817.5;1327.49
0.58;1840;1355.23
0.59;1742.49;1301.91
0.6;1720;1277.25
0.61;1715;1290.4
0.62;1715;1324.23
0.63;1637.5;1296.96
0.64;1622.5;1310.69
0.65;1597.5;1317.46
0.66;1555;1305.3
0.67;1505;1283.79
0.68;1472.5;1281.11
0.69;1415.02;1248.7
0.7;1427.5;1272.36
0.71;1402.5;1262.35
0.72;1355;1229.69
0.73;1355;1238
0.74;1300;1192.42
0.75;1272.52;1171.61
0.76;1222.5;1131.14
0.77;1187.5;1020.43
0.78;1195;1035.37
0.79;1142.5;992.697
0.8;1144.7;997.34
0.81;1113;972.295
0.82;1070;937.135
0.83;1041;914.011
0.84;1019.99;897.736
0.85;994;876.926
0.86;1002;886.018
0.87;972;861.423
0.88;966;857.987
0.89;945;841.142
0.9;913;814.375
0.91;876;782.992
0.92;841;753.243
0.93;830;744.886
0.94;801;720.286
0.95;778;700.976
0.96;771;696.016
0.97;764;691.023
0.98;769;696.873
0.99;762;691.839
1;743.99;676.762
1.01;728.388;663.816
1.02;712.786;650.816
1.03;697.184;637.765
1.04;681.582;624.663
1.05;665.98;611.513
1.06;653.992;601.641
1.07;642.004;591.735
1.08;630.016;581.798
1.09;618.028;571.832
1.1;606.04;561.836
1.11;595.04;552.732
1.12;584.04;543.606
1.13;573.04;534.461
1.14;562.04;525.299
1.15;551.04;516.122
1.16;540.43;507.3
1.17;529.82;498.472
1.18;519.21;489.641
1.19;508.6;480.815
1.2;497.99;472.001
1.21;492.39;467.971
1.22;486.79;464.007
1.23;481.19;460.138
1.24;475.59;456.408
1.25;469.99;452.903
1.26;463.39;447.314
1.27;456.79;441.756
1.28;450.19;436.244
1.29;443.59;430.798
1.3;436.99;425.45
1.31;427.398;416.258
1.32;417.806;407.056
1.33;408.214;397.847
1.34;398.622;388.629
1.35;389.03;379.403
1.36;382.03;372.671
1.37;375.03;365.934
1.38;368.03;359.193
1.39;361.03;352.446
1.4;354.03;345.694
1.41;347.022;334.032
1.42;340.014;324.562
1.43;333.006;315.818
1.44;325.998;307.479
1.45;318.99;299.413
1.46;314.59;296.809
1.47;310.19;294.353
1.48;305.79;292.14
1.49;301.39;290.406
1.5;296.99;290.19
1.51;292.39;284.914
1.52;287.79;279.795
1.53;283.19;274.782
1.54;278.59;269.847
1.55;273.99;264.972
1.56;268.596;257.724
1.57;263.202;251.025
1.58;257.808;244.629
1.59;252.414;238.435
1.6;247.02;232.391
1.61;244.42;231.107
1.62;241.82;229.943
1.63;239.22;228.971
1.64;236.62;228.364
1.65;234.02;228.831
1.66;230.216;225.241
1.67;226.412;221.65
1.68;222.608;218.057
1.69;218.804;214.464
1.7;215;210.87
1.71;209.4;205.4
1.72;203.8;199.929
1.73;198.2;194.456
1.74;192.6;188.982
1.75;187;183.506
1.76;183.6;180.188
1.77;180.2;176.869
1.78;176.8;173.549
1.79;173.4;170.228
1.8;170;166.907
1.81;165.802;162.792
1.82;161.604;158.678
1.83;157.406;154.562
1.84;153.208;150.446
1.85;149.01;146.33
1.86;146.41;143.455
1.87;143.81;140.637
1.88;141.21;137.862
1.89;138.61;135.118
1.9;136.01;132.4
1.91;134.008;117.303
1.92;132.006;109.541
1.93;130.004;103.431
1.94;128.002;98.2264
1.95;126;93.6244
1.96;124.5;91.1301
1.97;123;88.7432
1.98;121.5;86.4522
1.99;120;84.2475
