NDA;POWER;ZEN;S_z
1;485.474;0.0701775;0.997539
2;485.119;0.0686383;0.997645
3;484.732;0.066981;0.997758
4;484.313;0.0652067;0.997875
5;483.863;0.0633151;0.997996
6;483.382;0.0613069;0.998121
7;482.869;0.0591834;0.998249
8;482.326;0.0569443;0.998379
9;481.75;0.0545906;0.99851
10;481.144;0.0521241;0.998642
11;480.507;0.0495434;0.998773
12;479.84;0.0468513;0.998903
13;479.141;0.0440464;0.99903
14;478.411;0.0411317;0.999154
15;477.652;0.038107;0.999274
16;476.862;0.0349744;0.999388
17;476.041;0.0317321;0.999497
18;475.191;0.0283843;0.999597
19;474.311;0.0249293;0.999689
20;473.401;0.0213707;0.999772
21;472.461;0.0177067;0.999843
22;471.492;0.0139397;0.999903
23;470.495;0.0100721;0.999949
24;469.467;0.00609864;0.999981
25;468.414;0.00204263;0.999998
26;468.324;0.00212837;0.999998
27;469.206;0.00639444;0.99998
28;470.103;0.0107533;0.999942
29;471.015;0.0152076;0.999884
30;471.942;0.0197531;0.999805
31;472.883;0.0243927;0.999703
32;473.838;0.0291224;0.999576
33;474.806;0.0339398;0.999424
34;475.787;0.0388461;0.999246
35;476.781;0.0438375;0.999039
36;477.786;0.0489135;0.998804
37;478.803;0.0540737;0.998538
38;479.83;0.0593143;0.998241
39;480.868;0.0646362;0.997912
40;481.915;0.0700354;0.997549
41;482.972;0.0755123;0.99715
42;484.038;0.0810644;0.996716
43;485.112;0.0866898;0.996245
44;486.194;0.0923877;0.995735
45;487.283;0.098156;0.995187
46;488.378;0.103992;0.994598
47;489.48;0.109896;0.993968
48;490.588;0.115864;0.993295
49;491.701;0.121896;0.99258
50;492.818;0.12799;0.991821
51;493.94;0.134143;0.991016
52;495.065;0.140354;0.990166
53;496.193;0.146621;0.98927
54;497.324;0.152943;0.988327
55;498.457;0.159317;0.987336
56;499.592;0.165741;0.986296
57;500.728;0.172214;0.985208
58;501.864;0.178734;0.98407
59;503.001;0.185298;0.982881
60;504.137;0.191906;0.981643
61;505.272;0.198554;0.980353
62;506.406;0.205241;0.979012
63;507.538;0.211965;0.977619
64;508.668;0.218724;0.976175
65;509.795;0.225515;0.974679
66;510.919;0.232338;0.973131
67;512.039;0.239189;0.97153
68;513.156;0.246068;0.969878
69;514.268;0.252971;0.968173
70;515.375;0.259897;0.966416
71;516.476;0.266844;0.964608
72;517.572;0.273809;0.962748
73;518.662;0.280791;0.960837
74;519.745;0.287788;0.958874
75;520.822;0.294797;0.956861
