array_size;power;delta
3;1663;1108.03
5;2767.39;1104.39
7;3866.68;1099.29
9;4959.72;1093.05
11;6045.75;1086.03
13;7124.3;1078.55
15;8195.19;1070.89
17;9258.44;1063.25
19;10314.2;1055.78
21;11362.8;1048.59
23;12404.5;1041.73
25;13439.8;1035.24
27;14468.9;1029.12
29;15492.3;1023.39
31;16510.3;1018.01
33;17523.3;1012.99
35;18531.6;1008.29
37;19535.5;1003.9
39;20535.3;999.797
41;21531.2;995.956
43;22523.6;992.36
45;23512.6;988.989
47;24498.4;985.826
49;25481.3;982.854
51;26461.3;980.059
53;27438.8;977.427
55;28413.7;974.944
57;29386.3;972.601
59;30356.7;970.386
61;31325;968.289
63;32291.3;966.303
65;33255.7;964.419
67;34218.3;962.629
69;35179.3;960.928
71;36138.6;959.309
73;37096.3;957.767
75;38052.6;956.296
77;39007.5;954.892
79;39961.1;953.55
81;40913.3;952.268
83;41864.4;951.04
85;42814.2;949.864
87;43763;948.736
89;44710.6;947.654
91;45657.2;946.615
93;46602.9;945.617
95;47547.5;944.657
97;48491.3;943.733
99;49434.1;942.844
