theta;power
3.14159;448.368
3.24159;460.135
3.34159;471.496
3.44159;482.368
3.54159;492.681
3.64159;502.367
3.74159;511.369
3.84159;519.634
3.94159;527.117
4.04159;533.776
4.14159;539.576
4.24159;544.489
4.34159;548.49
4.44159;551.558
4.54159;553.679
4.64159;554.843
4.74159;555.043
4.84159;554.28
4.94159;552.556
5.04159;549.88
5.14159;546.266
5.24159;541.729
5.34159;536.294
5.44159;529.988
5.54159;522.844
5.64159;514.899
5.74159;506.198
5.84159;496.79
5.94159;486.73
6.04159;476.082
6.14159;464.915
6.24159;453.306
