x_pos;power
-100;460.097
-99.9;460.108
-99.8;460.12
-99.7;460.131
-99.6;460.143
-99.5;460.154
-99.4;460.166
-99.3;460.177
-99.2;460.189
-99.1;460.201
-99;460.212
-98.9;460.224
-98.8;460.236
-98.7;460.248
-98.6;460.259
-98.5;460.271
-98.4;460.283
-98.3;460.295
-98.2;460.307
-98.1;460.319
-98;460.33
-97.9;460.342
-97.8;460.354
-97.7;460.366
-97.6;460.378
-97.5;460.39
-97.4;460.402
-97.3;460.415
-97.2;460.427
-97.1;460.439
-97;460.451
-96.9;460.463
-96.8;460.475
-96.7001;460.488
-96.6001;460.5
-96.5001;460.512
-96.4001;460.524
-96.3001;460.537
-96.2001;460.549
-96.1001;460.561
-96.0001;460.574
-95.9001;460.586
-95.8001;460.599
-95.7001;460.611
-95.6001;460.624
-95.5001;460.636
-95.4001;460.649
-95.3001;460.661
-95.2001;460.674
-95.1001;460.687
-95.0001;460.699
-94.9001;460.712
-94.8001;460.725
-94.7001;460.737
-94.6001;460.75
-94.5001;460.763
-94.4001;460.776
-94.3001;460.788
-94.2001;460.801
-94.1001;460.814
-94.0001;460.827
-93.9001;460.84
-93.8001;460.853
-93.7001;460.866
-93.6001;460.879
-93.5001;460.892
-93.4001;460.905
-93.3001;460.918
-93.2001;460.931
-93.1001;460.945
-93.0001;460.958
-92.9001;460.971
-92.8001;460.984
-92.7001;460.997
-92.6001;461.011
-92.5001;461.024
-92.4001;461.038
-92.3001;461.051
-92.2001;461.064
-92.1001;461.078
-92.0001;461.091
-91.9001;461.105
-91.8001;461.118
-91.7001;461.132
-91.6001;461.145
-91.5001;461.159
-91.4001;461.173
-91.3001;461.186
-91.2001;461.2
-91.1001;461.214
-91.0001;461.227
-90.9001;461.241
-90.8001;461.255
-90.7001;461.269
-90.6001;461.283
-90.5001;461.297
-90.4001;461.311
-90.3001;461.324
-90.2001;461.338
-90.1002;461.353
-90.0002;461.367
-89.9002;461.381
-89.8002;461.395
-89.7002;461.409
-89.6002;461.423
-89.5002;461.437
-89.4002;461.452
-89.3002;461.466
-89.2002;461.48
-89.1002;461.494
-89.0002;461.509
-88.9002;461.523
-88.8002;461.538
-88.7002;461.552
-88.6002;461.566
-88.5002;461.581
-88.4002;461.596
-88.3002;461.61
-88.2002;461.625
-88.1002;461.639
-88.0002;461.654
-87.9002;461.669
-87.8002;461.684
-87.7002;461.698
-87.6002;461.713
-87.5002;461.728
-87.4002;461.743
-87.3002;461.758
-87.2002;461.773
-87.1002;461.788
-87.0002;461.803
-86.9002;461.818
-86.8002;461.833
-86.7002;461.848
-86.6002;461.863
-86.5002;461.878
-86.4002;461.893
-86.3002;461.909
-86.2002;461.924
-86.1002;461.939
-86.0002;461.954
-85.9002;461.97
-85.8002;461.985
-85.7002;462.001
-85.6002;462.016
-85.5002;462.032
-85.4002;462.047
-85.3002;462.063
-85.2002;462.078
-85.1002;462.094
-85.0002;462.11
-84.9002;462.125
-84.8002;462.141
-84.7002;462.157
-84.6002;462.173
-84.5002;462.189
-84.4002;462.205
-84.3002;462.221
-84.2002;462.237
-84.1002;462.253
-84.0002;462.269
-83.9002;462.285
-83.8002;462.301
-83.7002;462.317
-83.6003;462.333
-83.5003;462.35
-83.4003;462.366
-83.3003;462.382
-83.2003;462.398
-83.1003;462.415
-83.0003;462.431
-82.9003;462.448
-82.8003;462.464
-82.7003;462.481
-82.6003;462.497
-82.5003;462.514
-82.4003;462.531
-82.3003;462.547
-82.2003;462.564
-82.1003;462.581
-82.0003;462.598
-81.9003;462.615
-81.8003;462.631
-81.7003;462.648
-81.6003;462.665
-81.5003;462.682
-81.4003;462.699
-81.3003;462.717
-81.2003;462.734
-81.1003;462.751
-81.0003;462.768
-80.9003;462.785
-80.8003;462.803
-80.7003;462.82
-80.6003;462.837
-80.5003;462.855
-80.4003;462.872
-80.3003;462.89
-80.2003;462.907
-80.1003;462.925
-80.0003;462.943
-79.9003;462.96
-79.8003;462.978
-79.7003;462.996
-79.6003;463.013
-79.5003;463.031
-79.4003;463.049
-79.3003;463.067
-79.2003;463.085
-79.1003;463.103
-79.0003;463.121
-78.9003;463.139
-78.8003;463.157
-78.7003;463.176
-78.6003;463.194
-78.5003;463.212
-78.4003;463.231
-78.3003;463.249
-78.2003;463.267
-78.1003;463.286
-78.0003;463.304
-77.9003;463.323
-77.8003;463.342
-77.7003;463.36
-77.6003;463.379
-77.5003;463.398
-77.4003;463.416
-77.3003;463.435
-77.2003;463.454
-77.1003;463.473
-77.0004;463.492
-76.9004;463.511
-76.8004;463.53
-76.7004;463.549
-76.6004;463.568
-76.5004;463.588
-76.4004;463.607
-76.3004;463.626
-76.2004;463.646
-76.1004;463.665
-76.0004;463.684
-75.9004;463.704
-75.8004;463.723
-75.7004;463.743
-75.6004;463.763
-75.5004;463.782
-75.4004;463.802
-75.3004;463.822
-75.2004;463.842
-75.1004;463.862
-75.0004;463.882
-74.9004;463.902
-74.8004;463.922
-74.7004;463.942
-74.6004;463.962
-74.5004;463.982
-74.4004;464.003
-74.3004;464.023
-74.2004;464.043
-74.1004;464.064
-74.0004;464.084
-73.9004;464.105
-73.8004;464.125
-73.7004;464.146
-73.6004;464.167
-73.5004;464.187
-73.4004;464.208
-73.3004;464.229
-73.2004;464.25
-73.1004;464.271
-73.0004;464.292
-72.9004;464.313
-72.8004;464.334
-72.7004;464.355
-72.6004;464.376
-72.5004;464.398
-72.4004;464.419
-72.3004;464.441
-72.2004;464.462
-72.1004;464.483
-72.0004;464.505
-71.9004;464.527
-71.8004;464.548
-71.7004;464.57
-71.6004;464.592
-71.5004;464.614
-71.4004;464.636
-71.3004;464.658
-71.2004;464.68
-71.1004;464.702
-71.0004;464.724
-70.9004;464.746
-70.8004;464.769
-70.7004;464.791
-70.6004;464.813
-70.5005;464.836
-70.4005;464.858
-70.3005;464.881
-70.2005;464.904
-70.1005;464.926
-70.0005;464.949
-69.9005;464.972
-69.8005;464.995
-69.7005;465.018
-69.6005;465.041
-69.5005;465.064
-69.4005;465.087
-69.3005;465.11
-69.2005;465.133
-69.1005;465.157
-69.0005;465.18
-68.9005;465.204
-68.8005;465.227
-68.7005;465.251
-68.6005;465.274
-68.5005;465.298
-68.4005;465.322
-68.3005;465.346
-68.2005;465.37
-68.1005;465.394
-68.0005;465.418
-67.9005;465.442
-67.8005;465.466
-67.7005;465.49
-67.6005;465.515
-67.5005;465.539
-67.4005;465.564
-67.3005;465.588
-67.2005;465.613
-67.1005;465.637
-67.0005;465.662
-66.9005;465.687
-66.8005;465.712
-66.7005;465.737
-66.6005;465.762
-66.5005;465.787
-66.4005;465.812
-66.3005;465.837
-66.2005;465.863
-66.1005;465.888
-66.0005;465.913
-65.9005;465.939
-65.8005;465.965
-65.7005;465.99
-65.6005;466.016
-65.5005;466.042
-65.4005;466.068
-65.3005;466.094
-65.2005;466.12
-65.1005;466.146
-65.0005;466.172
-64.9005;466.198
-64.8005;466.225
-64.7005;466.251
-64.6005;466.278
-64.5005;466.304
-64.4005;466.331
-64.3005;466.358
-64.2005;466.385
-64.1005;466.411
-64.0005;466.439
-63.9006;466.466
-63.8006;466.493
-63.7006;466.52
-63.6006;466.547
-63.5006;466.575
-63.4006;466.602
-63.3006;466.63
-63.2006;466.657
-63.1006;466.685
-63.0006;466.713
-62.9006;466.741
-62.8006;466.769
-62.7006;466.797
-62.6006;466.825
-62.5006;466.853
-62.4006;466.881
-62.3006;466.91
-62.2006;466.938
-62.1006;466.967
-62.0006;466.996
-61.9006;467.024
-61.8006;467.053
-61.7006;467.082
-61.6006;467.111
-61.5006;467.14
-61.4006;467.169
-61.3006;467.199
-61.2006;467.228
-61.1006;467.257
-61.0006;467.287
-60.9006;467.317
-60.8006;467.346
-60.7006;467.376
-60.6006;467.406
-60.5006;467.436
-60.4006;467.466
-60.3006;467.496
-60.2006;467.527
-60.1006;467.557
-60.0006;467.587
-59.9006;467.618
