HORA_LOCAL;POWER;ZEN;AZIM;S_z
6.32;312.753;1.56818;1.32459;0.00261364
6.4;314.677;1.54898;1.31775;0.0218119
6.48;316.682;1.52982;1.3108;0.040968
6.56;318.765;1.51069;1.30375;0.0600735
6.64;320.923;1.49159;1.2966;0.0791198
6.72;323.154;1.47254;1.28933;0.0980989
6.8;325.456;1.45353;1.28194;0.117002
6.88;327.826;1.43455;1.27443;0.135822
6.96;330.261;1.41563;1.26678;0.154549
7.04;332.76;1.39674;1.259;0.173176
7.12;335.32;1.37791;1.25107;0.191694
7.2;337.937;1.35912;1.24299;0.210095
7.28;340.611;1.34039;1.23475;0.228372
7.36;343.337;1.32171;1.22635;0.246516
7.44;346.114;1.30309;1.21777;0.264519
7.52;348.94;1.28453;1.20902;0.282373
7.6;351.812;1.26603;1.20007;0.300071
7.68;354.727;1.24759;1.19093;0.317604
7.76;357.684;1.22923;1.18157;0.334966
7.84;360.679;1.21093;1.17201;0.352148
7.92;363.712;1.19271;1.16221;0.369143
8;366.779;1.17457;1.15218;0.385943
8.08;369.878;1.1565;1.14189;0.402542
8.16;373.007;1.13853;1.13135;0.418931
8.24;376.165;1.12064;1.12054;0.435104
8.32;379.348;1.10285;1.10944;0.451053
8.4;382.556;1.08516;1.09805;0.466772
8.48;385.785;1.06757;1.08634;0.482253
8.56;389.034;1.05009;1.07431;0.497491
8.64;392.302;1.03273;1.06194;0.512477
8.72;395.586;1.01549;1.04921;0.527206
8.8;398.884;0.998373;1.03611;0.541671
8.88;402.195;0.981392;1.02262;0.555866
8.96;405.517;0.964553;1.00873;0.569784
9.04;408.848;0.947863;0.994402;0.58342
9.12;412.187;0.93133;0.979633;0.596767
9.2;415.531;0.914963;0.964398;0.60982
9.28;418.88;0.898771;0.948676;0.622572
9.36;422.232;0.882763;0.932446;0.635019
9.44;425.584;0.866949;0.915686;0.647155
9.52;428.937;0.851342;0.898372;0.658974
9.6;432.288;0.835952;0.880481;0.670472
9.68;435.636;0.820791;0.861988;0.681643
9.76;438.979;0.805873;0.84287;0.692482
9.84;442.317;0.791211;0.823101;0.702985
9.92;445.647;0.77682;0.802656;0.713146
10;448.969;0.762715;0.78151;0.722963
10.08;452.282;0.748913;0.75964;0.732429
10.16;455.583;0.735431;0.73702;0.741542
10.24;458.872;0.722286;0.713627;0.750296
10.32;462.149;0.709497;0.68944;0.758689
10.4;465.41;0.697085;0.664439;0.766717
10.48;468.656;0.685069;0.638604;0.774375
10.56;471.886;0.673471;0.61192;0.781662
10.64;475.098;0.662312;0.584376;0.788572
