z_pos;power
-0;555.084
0.1;556.61
0.2;558.121
0.3;559.618
0.4;561.1
0.5;562.567
0.6;564.018
0.7;565.454
0.8;566.874
0.9;568.277
1;569.664
1.1;571.034
1.2;572.387
1.3;573.724
1.4;575.043
1.5;576.344
1.6;577.628
1.7;578.894
1.8;580.143
1.9;581.373
2;582.586
2.1;583.78
2.2;584.957
2.3;586.115
2.4;587.254
2.5;588.376
2.6;589.479
2.7;590.564
2.8;591.631
2.9;592.68
3;593.71
3.1;594.722
3.2;595.717
3.3;596.693
3.4;597.651
3.5;598.592
3.6;599.515
3.7;600.42
3.8;601.308
3.9;602.179
4;603.032
4.1;603.869
4.2;604.688
4.3;605.491
4.4;606.277
4.5;607.047
4.6;607.801
4.7;608.538
4.8;609.26
4.9;609.966
5;610.657
5.1;611.332
5.2;611.993
5.3;612.639
5.4;613.27
5.5;613.886
5.6;614.489
5.7;615.077
5.8;615.652
5.9;616.213
6;616.761
6.1;617.296
6.2;617.818
6.3;618.327
6.4;618.823
6.5;619.308
6.6;619.78
6.7;620.241
6.8;620.69
6.9;621.128
7;621.554
7.1;621.97
7.2;622.374
7.3;622.769
7.4;623.153
7.5;623.526
7.6;623.89
7.7;624.244
7.79999;624.589
7.89999;624.924
7.99999;625.25
8.09999;625.568
8.2;625.876
8.3;626.176
8.4;626.467
8.5;626.75
8.6;627.026
8.7;627.293
8.8;627.553
8.9;627.805
9;628.05
9.1;628.287
9.2;628.518
9.3;628.741
9.4;628.958
9.5;629.169
9.6;629.373
9.7;629.57
9.8;629.762
9.9;629.948
10;630.128
10.1;630.302
10.2;630.47
10.3;630.633
10.4;630.791
10.5;630.943
10.6;631.091
10.7;631.233
10.8;631.371
10.9;631.504
11;631.632
11.1;631.756
11.2;631.876
11.3;631.991
11.4;632.102
11.5;632.209
11.6;632.312
11.7;632.411
11.8;632.507
11.9;632.598
12;632.686
12.1;632.771
12.2;632.852
12.3;632.93
12.4;633.005
12.5;633.076
12.6;633.144
12.7;633.21
12.8;633.272
12.9;633.332
13;633.388
13.1;633.442
13.2;633.494
13.3;633.542
13.4;633.589
13.5;633.632
13.6;633.674
13.7;633.713
13.8;633.75
13.9;633.784
14;633.816
14.1;633.847
14.2;633.875
14.3;633.901
14.4;633.925
14.5;633.948
14.6;633.968
14.7;633.987
14.8;634.004
14.9;634.019
15;634.033
15.1;634.045
15.2;634.055
15.3;634.064
15.4;634.072
15.5;634.078
15.6;634.082
15.7;634.085
15.8;634.087
15.9;634.088
16;634.087
16.1;634.085
16.2;634.082
16.3;634.077
16.4;634.072
16.5;634.065
16.6;634.057
16.7;634.048
16.8;634.039
16.9;634.028
17;634.016
17.1;634.003
17.2;633.99
17.3;633.975
17.4;633.96
17.5;633.944
17.6;633.927
17.7;633.909
17.8;633.89
17.9;633.871
18;633.851
18.1;633.83
18.2;633.809
18.3;633.786
18.4;633.764
18.5;633.74
18.6;633.716
18.7;633.692
18.8;633.666
18.9;633.641
19;633.614
19.1;633.587
19.2;633.56
19.3;633.532
19.4;633.504
19.5;633.475
19.6;633.446
19.7;633.416
19.8;633.386
19.9;633.356
20;633.325
