HORA_LOCAL;POWER;ZEN;AZIM;S_z
6.32;500.03;1.56818;1.32459;0.00261364
6.4;501.35;1.54898;1.31775;0.0218119
6.48;502.664;1.52982;1.3108;0.040968
6.56;503.971;1.51069;1.30375;0.0600735
6.64;505.27;1.49159;1.2966;0.0791198
6.72;506.561;1.47254;1.28933;0.0980989
6.8;507.844;1.45353;1.28194;0.117002
6.88;509.118;1.43455;1.27443;0.135822
6.96;510.383;1.41563;1.26678;0.154549
7.04;511.638;1.39674;1.259;0.173176
7.12;512.882;1.37791;1.25107;0.191694
7.2;514.116;1.35912;1.24299;0.210095
7.28;515.338;1.34039;1.23475;0.228372
7.36;516.549;1.32171;1.22635;0.246516
7.44;517.747;1.30309;1.21777;0.264519
7.52;518.933;1.28453;1.20902;0.282373
7.6;520.106;1.26603;1.20007;0.300071
7.68;521.265;1.24759;1.19093;0.317604
7.76;522.41;1.22923;1.18157;0.334966
7.84;523.541;1.21093;1.17201;0.352148
7.92;524.658;1.19271;1.16221;0.369143
8;525.759;1.17457;1.15218;0.385943
8.08;526.844;1.1565;1.14189;0.402542
8.16;527.914;1.13853;1.13135;0.418931
8.24;528.968;1.12064;1.12054;0.435104
8.32;530.005;1.10285;1.10944;0.451053
8.4;531.025;1.08516;1.09805;0.466772
8.48;532.027;1.06757;1.08634;0.482253
8.56;533.012;1.05009;1.07431;0.497491
8.64;533.979;1.03273;1.06194;0.512477
8.72;534.928;1.01549;1.04921;0.527206
8.8;535.858;0.998373;1.03611;0.541671
8.88;536.769;0.981392;1.02262;0.555866
8.96;537.661;0.964553;1.00873;0.569784
9.04;538.534;0.947863;0.994402;0.58342
9.12;539.386;0.93133;0.979633;0.596767
9.2;540.218;0.914963;0.964398;0.60982
9.28;541.03;0.898771;0.948676;0.622572
9.36;541.822;0.882763;0.932446;0.635019
9.44;542.592;0.866949;0.915686;0.647155
9.52;543.342;0.851342;0.898372;0.658974
9.6;544.07;0.835952;0.880481;0.670472
9.68;544.776;0.820791;0.861988;0.681643
9.76;545.46;0.805873;0.84287;0.692482
9.84;546.123;0.791211;0.823101;0.702985
9.92;546.763;0.77682;0.802656;0.713146
10;547.381;0.762715;0.78151;0.722963
10.08;547.976;0.748913;0.75964;0.732429
10.16;548.548;0.735431;0.73702;0.741542
10.24;549.097;0.722286;0.713627;0.750296
10.32;549.623;0.709497;0.68944;0.758689
10.4;550.126;0.697085;0.664439;0.766717
10.48;550.605;0.685069;0.638604;0.774375
