i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,282.80
4,0,3.00,-2.00,282.80
5,0,-4.50,-2.00,386.60
6,0,4.50,-2.00,386.60
7,0,-6.00,-2.00,451.27
8,0,6.00,-2.00,451.27
9,0,-7.50,-2.00,495.12
10,0,7.50,-2.00,495.12
11,0,-9.00,-2.00,520.29
12,0,9.00,-2.00,520.29
13,0,-10.50,-2.00,554.21
14,0,10.50,-2.00,554.21
15,0,-12.00,-2.00,569.11
16,0,12.00,-2.00,569.11
17,0,-13.50,-2.00,575.41
18,0,13.50,-2.00,575.41
19,0,-15.00,-2.00,571.77
20,0,15.00,-2.00,571.78
21,0,-16.50,-2.00,567.69
22,0,16.50,-2.00,567.69
23,0,-18.00,-2.00,563.66
24,0,18.00,-2.00,563.66
25,0,-19.50,-2.00,559.71
26,0,19.50,-2.00,559.71
27,0,-21.00,-2.00,555.87
28,0,21.00,-2.00,555.87
29,0,-22.50,-2.00,552.17
30,0,22.50,-2.00,552.17
31,0,-24.00,-2.00,548.60
32,0,24.00,-2.00,548.60
33,0,-25.50,-2.00,545.18
34,0,25.50,-2.00,545.18
35,0,-27.00,-2.00,541.91
36,0,27.00,-2.00,541.91
37,0,-28.50,-2.00,538.79
38,0,28.50,-2.00,538.79
39,0,-30.00,-2.00,535.81
40,0,30.00,-2.00,535.81
41,0,-31.50,-2.00,532.98
42,0,31.50,-2.00,532.98
43,0,-33.00,-2.00,530.28
44,0,33.00,-2.00,530.28
45,0,-34.50,-2.00,527.71
46,0,34.50,-2.00,527.71
47,0,-36.00,-2.00,525.27
48,0,36.00,-2.00,525.27
49,0,-37.50,-2.00,522.95
50,0,37.50,-2.00,522.95
51,0,-39.00,-2.00,520.74
52,0,39.00,-2.00,520.74
53,0,-40.50,-2.00,518.63
54,0,40.50,-2.00,518.63
55,0,-42.00,-2.00,516.63
56,0,42.00,-2.00,516.63
57,0,-43.50,-2.00,514.72
58,0,43.50,-2.00,514.72
59,0,-45.00,-2.00,512.90
60,0,45.00,-2.00,512.90
61,0,-46.50,-2.00,511.17
62,0,46.50,-2.00,511.17
63,0,-48.00,-2.00,509.51
64,0,48.00,-2.00,509.51
65,0,-49.50,-2.00,507.93
66,0,49.50,-2.00,507.93
67,0,-51.00,-2.00,506.42
68,0,51.00,-2.00,506.42
69,0,-52.50,-2.00,504.97
70,0,52.50,-2.00,504.97
71,0,-54.00,-2.00,503.59
72,0,54.00,-2.00,503.59
73,0,-55.50,-2.00,502.26
74,0,55.50,-2.00,502.26
75,0,-57.00,-2.00,501.00
76,0,57.00,-2.00,501.00
77,0,-58.50,-2.00,499.78
78,0,58.50,-2.00,499.78
79,0,-60.00,-2.00,498.61
80,0,60.00,-2.00,498.61
81,0,-61.50,-2.00,497.49
82,0,61.50,-2.00,497.49
83,0,-63.00,-2.00,496.41
84,0,63.00,-2.00,496.41
85,0,-64.50,-2.00,495.38
86,0,64.50,-2.00,495.38
87,0,-66.00,-2.00,494.38
88,0,66.00,-2.00,494.38
89,0,-67.50,-2.00,493.42
90,0,67.50,-2.00,493.42
91,0,-69.00,-2.00,492.50
92,0,69.00,-2.00,492.50
93,0,-70.50,-2.00,491.61
94,0,70.50,-2.00,491.61
95,0,-72.00,-2.00,490.75
96,0,72.00,-2.00,490.75
97,0,-73.50,-2.00,489.92
98,0,73.50,-2.00,489.92
99,0,-75.00,-2.00,489.13
0,1,0.00,-3.50,96.37
1,1,-1.50,-3.50,199.88
2,1,1.50,-3.50,199.88
3,1,-3.00,-3.50,304.24
4,1,3.00,-3.50,304.24
5,1,-4.50,-3.50,354.69
6,1,4.50,-3.50,354.69
7,1,-6.00,-3.50,404.11
8,1,6.00,-3.50,404.11
9,1,-7.50,-3.50,451.58
10,1,7.50,-3.50,451.58
11,1,-9.00,-3.50,480.01
12,1,9.00,-3.50,480.01
13,1,-10.50,-3.50,506.60
14,1,10.50,-3.50,506.60
15,1,-12.00,-3.50,530.70
16,1,12.00,-3.50,530.70
17,1,-13.50,-3.50,551.25
18,1,13.50,-3.50,551.25
19,1,-15.00,-3.50,566.42
20,1,15.00,-3.50,566.42
21,1,-16.50,-3.50,568.92
22,1,16.50,-3.50,568.92
23,1,-18.00,-3.50,568.72
24,1,18.00,-3.50,568.72
25,1,-19.50,-3.50,565.13
26,1,19.50,-3.50,565.13
27,1,-21.00,-3.50,561.18
28,1,21.00,-3.50,561.18
29,1,-22.50,-3.50,557.36
30,1,22.50,-3.50,557.36
31,1,-24.00,-3.50,553.69
32,1,24.00,-3.50,553.69
33,1,-25.50,-3.50,550.15
34,1,25.50,-3.50,550.15
35,1,-27.00,-3.50,546.77
36,1,27.00,-3.50,546.77
37,1,-28.50,-3.50,543.54
38,1,28.50,-3.50,543.54
39,1,-30.00,-3.50,540.46
40,1,30.00,-3.50,540.46
41,1,-31.50,-3.50,537.52
42,1,31.50,-3.50,537.52
43,1,-33.00,-3.50,534.72
44,1,33.00,-3.50,534.72
45,1,-34.50,-3.50,532.05
46,1,34.50,-3.50,532.05
47,1,-36.00,-3.50,529.52
48,1,36.00,-3.50,529.52
49,1,-37.50,-3.50,527.10
50,1,37.50,-3.50,527.10
51,1,-39.00,-3.50,524.80
52,1,39.00,-3.50,524.80
53,1,-40.50,-3.50,522.61
54,1,40.50,-3.50,522.61
55,1,-42.00,-3.50,520.52
56,1,42.00,-3.50,520.52
57,1,-43.50,-3.50,518.53
58,1,43.50,-3.50,518.53
59,1,-45.00,-3.50,516.63
60,1,45.00,-3.50,516.63
61,1,-46.50,-3.50,514.81
62,1,46.50,-3.50,514.81
63,1,-48.00,-3.50,513.08
64,1,48.00,-3.50,513.08
65,1,-49.50,-3.50,511.43
66,1,49.50,-3.50,511.43
67,1,-51.00,-3.50,509.85
68,1,51.00,-3.50,509.85
69,1,-52.50,-3.50,508.33
70,1,52.50,-3.50,508.33
71,1,-54.00,-3.50,506.89
72,1,54.00,-3.50,506.89
73,1,-55.50,-3.50,505.50
74,1,55.50,-3.50,505.50
75,1,-57.00,-3.50,504.17
76,1,57.00,-3.50,504.17
77,1,-58.50,-3.50,502.89
78,1,58.50,-3.50,502.89
79,1,-60.00,-3.50,501.67
80,1,60.00,-3.50,501.67
81,1,-61.50,-3.50,500.49
82,1,61.50,-3.50,500.49
83,1,-63.00,-3.50,499.36
84,1,63.00,-3.50,499.36
85,1,-64.50,-3.50,498.27
86,1,64.50,-3.50,498.27
87,1,-66.00,-3.50,497.23
88,1,66.00,-3.50,497.23
89,1,-67.50,-3.50,496.22
90,1,67.50,-3.50,496.22
91,1,-69.00,-3.50,495.25
92,1,69.00,-3.50,495.25
93,1,-70.50,-3.50,494.32
94,1,70.50,-3.50,494.32
95,1,-72.00,-3.50,493.41
96,1,72.00,-3.50,493.41
97,1,-73.50,-3.50,492.54
98,1,73.50,-3.50,492.54
99,1,-75.00,-3.50,491.70
0,2,0.00,-5.00,339.96
1,2,-1.50,-5.00,344.19
2,2,1.50,-5.00,344.19
3,2,-3.00,-5.00,327.34
4,2,3.00,-5.00,327.34
5,2,-4.50,-5.00,340.18
6,2,4.50,-5.00,340.18
7,2,-6.00,-5.00,390.05
8,2,6.00,-5.00,390.05
