heliost_number,n.s,azimut_angle,x,y,power,net_power
5,0.955407,66.0375,4.5,-2,830.674,830.674
6,0.955407,66.0375,-4.5,-2,830.674,1661.35
7,0.951497,71.5651,6,-2,827.275,2488.62
8,0.951497,71.5651,-6,-2,827.275,3315.9
9,0.946747,75.0686,7.5,-2,823.144,4139.04
10,0.946747,75.0686,-7.5,-2,823.144,4962.19
11,0.94132,77.4712,9,-2,818.427,5780.61
12,0.94132,77.4712,-9,-2,818.427,6599.04
13,0.935384,79.2157,10.5,-2,813.265,7412.3
14,0.935384,79.2157,-10.5,-2,813.265,8225.57
15,0.929093,80.5377,12,-2,807.796,9033.37
16,0.929093,80.5377,-12,-2,807.796,9841.16
17,0.922586,81.573,13.5,-2,802.138,10643.3
18,0.922586,81.573,-13.5,-2,802.138,11445.4
19,0.915981,82.4054,15,-2,796.396,12241.8
20,0.915981,82.4054,-15,-2,796.396,13038.2
21,0.909375,83.0888,16.5,-2,790.652,13828.9
22,0.909375,83.0888,-16.5,-2,790.652,14619.5
23,0.902844,83.6598,18,-2,784.974,15404.5
24,0.902844,83.6598,-18,-2,784.974,16189.5
25,0.896447,84.144,19.5,-2,779.411,16968.9
26,0.896447,84.144,-19.5,-2,779.411,17748.3
27,0.890224,84.5597,21,-2,774.001,18522.3
28,0.890224,84.5597,-21,-2,774.001,19296.3
29,0.884206,84.9204,22.5,-2,768.769,20065.1
30,0.884206,84.9204,-22.5,-2,768.769,20833.8
31,0.878411,85.2364,24,-2,763.731,21597.6
32,0.878411,85.2364,-24,-2,763.731,22361.3
33,0.87285,85.5154,25.5,-2,758.895,23120.2
34,0.87285,85.5154,-25.5,-2,758.895,23879.1
35,0.867527,85.7636,27,-2,754.267,24633.4
36,0.867527,85.7636,-27,-2,754.267,25387.6
37,0.862441,85.9858,28.5,-2,749.845,26137.5
38,0.862441,85.9858,-28.5,-2,749.845,26887.3
39,0.857589,86.1859,30,-2,745.627,27633
40,0.857589,86.1859,-30,-2,745.627,28378.6
41,0.852964,86.3671,31.5,-2,741.605,29120.2
42,0.852964,86.3671,-31.5,-2,741.605,29861.8
43,0.848558,86.5318,33,-2,737.775,30599.6
44,0.848558,86.5318,-33,-2,737.775,31337.3
45,0.844363,86.6822,34.5,-2,734.127,32071.5
46,0.844363,86.6822,-34.5,-2,734.127,32805.6
47,0.840368,86.8202,36,-2,730.654,33536.3
48,0.840368,86.8202,-36,-2,730.654,34266.9
49,0.836565,86.9471,37.5,-2,727.347,34994.3
50,0.836565,86.9471,-37.5,-2,727.347,35721.6
51,0.832942,87.0643,39,-2,724.198,36445.8
52,0.832942,87.0643,-39,-2,724.198,37170
53,0.829491,87.1729,40.5,-2,721.197,37891.2
54,0.829491,87.1729,-40.5,-2,721.197,38612.4
55,0.826202,87.2737,42,-2,718.337,39330.7
56,0.826202,87.2737,-42,-2,718.337,40049.1
57,0.823065,87.3676,43.5,-2,715.61,40764.7
58,0.823065,87.3676,-43.5,-2,715.61,41480.3
59,0.820073,87.4552,45,-2,713.009,42193.3
60,0.820073,87.4552,-45,-2,713.009,42906.3
61,0.817217,87.5372,46.5,-2,710.525,43616.8
62,0.817217,87.5372,-46.5,-2,710.525,44327.3
63,0.814488,87.6141,48,-2,708.153,45035.5
64,0.814488,87.6141,-48,-2,708.153,45743.7
65,0.811881,87.6863,49.5,-2,705.886,46449.5
66,0.811881,87.6863,-49.5,-2,705.886,47155.4
67,0.809387,87.7543,51,-2,703.717,47859.1
68,0.809387,87.7543,-51,-2,703.717,48562.9
69,0.807,87.8184,52.5,-2,701.642,49264.5
70,0.807,87.8184,-52.5,-2,701.642,49966.1
71,0.804714,87.8789,54,-2,699.655,50665.8
72,0.804714,87.8789,-54,-2,699.655,51365.5
73,0.802524,87.9362,55.5,-2,697.751,52063.2
74,0.802524,87.9362,-55.5,-2,697.751,52761
75,0.800424,87.9904,57,-2,695.925,53456.9
76,0.800424,87.9904,-57,-2,695.925,54152.8
77,0.798409,88.0419,58.5,-2,694.173,54847
78,0.798409,88.0419,-58.5,-2,694.173,55541.2
79,0.796474,88.0909,60,-2,692.491,56233.6
80,0.796474,88.0909,-60,-2,692.491,56926.1
81,0.794615,88.1374,61.5,-2,690.875,57617
82,0.794615,88.1374,-61.5,-2,690.875,58307.9
83,0.792828,88.1817,63,-2,689.321,58997.2
84,0.792828,88.1817,-63,-2,689.321,59686.5
85,0.79111,88.224,64.5,-2,687.827,60374.4
86,0.79111,88.224,-64.5,-2,687.827,61062.2
87,0.789455,88.2643,66,-2,686.388,61748.6
88,0.789455,88.2643,-66,-2,686.388,62435
89,0.787862,88.3028,67.5,-2,685.003,63120
90,0.787862,88.3028,-67.5,-2,685.003,63805
91,0.786326,88.3397,69,-2,683.668,64488.6
92,0.786326,88.3397,-69,-2,683.668,65172.3
93,0.784846,88.375,70.5,-2,682.38,65854.7
94,0.784846,88.375,-70.5,-2,682.38,66537.1
95,0.783417,88.4089,72,-2,681.139,67218.2
96,0.783417,88.4089,-72,-2,681.139,67899.3
97,0.782039,88.4413,73.5,-2,679.94,68579.3
98,0.782039,88.4413,-73.5,-2,679.94,69259.2
99,0.780707,88.4725,75,-2,678.783,69938
100,0.780707,88.4725,-75,-2,678.783,70616.8
104,0.967848,40.6013,3,-3.5,841.491,71458.3
105,0.967848,40.6013,-3,-3.5,841.491,72299.8
106,0.96489,52.125,4.5,-3.5,838.919,73138.7
107,0.96489,52.125,-4.5,-3.5,838.919,73977.6
108,0.960923,59.7436,6,-3.5,835.47,74813.1
109,0.960923,59.7436,-6,-3.5,835.47,75648.5
110,0.956097,64.9831,7.5,-3.5,831.274,76479.8
111,0.956097,64.9831,-7.5,-3.5,831.274,77311.1
112,0.950578,68.7495,9,-3.5,826.476,78137.6
113,0.950578,68.7495,-9,-3.5,826.476,78964
114,0.944531,71.5651,10.5,-3.5,821.218,79785.3
115,0.944531,71.5651,-10.5,-3.5,821.218,80606.5
116,0.938113,73.7398,12,-3.5,815.638,81422.1
117,0.938113,73.7398,-12,-3.5,815.638,82237.8
118,0.931465,75.4655,13.5,-3.5,809.858,83047.6
119,0.931465,75.4655,-13.5,-3.5,809.858,83857.5
120,0.924706,76.866,15,-3.5,803.982,84661.5
121,0.924706,76.866,-15,-3.5,803.982,85465.5
122,0.917936,78.0239,16.5,-3.5,798.096,86263.5
123,0.917936,78.0239,-16.5,-3.5,798.096,87061.6
124,0.911234,78.9965,18,-3.5,792.268,87853.9
125,0.911234,78.9965,-18,-3.5,792.268,88646.2
126,0.904659,79.8245,19.5,-3.5,786.551,89432.7
127,0.904659,79.8245,-19.5,-3.5,786.551,90219.3
128,0.898256,80.5377,21,-3.5,780.984,91000.3
129,0.898256,80.5377,-21,-3.5,780.984,91781.2
130,0.892055,81.1582,22.5,-3.5,775.594,92556.8
131,0.892055,81.1582,-22.5,-3.5,775.594,93332.4
132,0.886078,81.7029,24,-3.5,770.397,94102.8
133,0.886078,81.7029,-24,-3.5,770.397,94873.2
134,0.880336,82.1847,25.5,-3.5,765.404,95638.6
135,0.880336,82.1847,-25.5,-3.5,765.404,96404
136,0.874834,82.614,27,-3.5,760.62,97164.7
137,0.874834,82.614,-27,-3.5,760.62,97925.3
138,0.869572,82.9987,28.5,-3.5,756.045,98681.3
139,0.869572,82.9987,-28.5,-3.5,756.045,99437.4
140,0.864548,83.3456,30,-3.5,751.677,100189
141,0.864548,83.3456,-30,-3.5,751.677,100941
142,0.859755,83.6598,31.5,-3.5,747.51,101688
143,0.859755,83.6598,-31.5,-3.5,747.51,102436
144,0.855186,83.9458,33,-3.5,743.538,103179
145,0.855186,83.9458,-33,-3.5,743.538,103923
146,0.850832,84.2072,34.5,-3.5,739.752,104663
147,0.850832,84.2072,-34.5,-3.5,739.752,105402
148,0.846684,84.447,36,-3.5,736.146,106138
149,0.846684,84.447,-36,-3.5,736.146,106875
150,0.842732,84.6678,37.5,-3.5,732.709,107607
151,0.842732,84.6678,-37.5,-3.5,732.709,108340
152,0.838966,84.8718,39,-3.5,729.435,109069
153,0.838966,84.8718,-39,-3.5,729.435,109799
154,0.835376,85.0608,40.5,-3.5,726.314,110525
155,0.835376,85.0608,-40.5,-3.5,726.314,111252
156,0.831952,85.2364,42,-3.5,723.337,111975
157,0.831952,85.2364,-42,-3.5,723.337,112698
158,0.828687,85.3999,43.5,-3.5,720.498,113419
159,0.828687,85.3999,-43.5,-3.5,720.498,114139
160,0.82557,85.5526,45,-3.5,717.788,114857
161,0.82557,85.5526,-45,-3.5,717.788,115575
162,0.822593,85.6955,46.5,-3.5,715.2,116290
163,0.822593,85.6955,-46.5,-3.5,715.2,117005
164,0.819749,85.8296,48,-3.5,712.727,117718
165,0.819749,85.8296,-48,-3.5,712.727,118431
166,0.817029,85.9555,49.5,-3.5,710.362,119141
167,0.817029,85.9555,-49.5,-3.5,710.362,119851
168,0.814428,86.0741,51,-3.5,708.1,120559
169,0.814428,86.0741,-51,-3.5,708.1,121268
170,0.811937,86.1859,52.5,-3.5,705.935,121974
