heliost_number,n.s,azimut_angle,x,y,power,net_power
0,0.832413,0,0,-2,0,0
1,0.813579,36.8699,1.5,-2,0,0
2,0.850201,36.8699,-1.5,-2,0,0
3,0.793957,56.3099,3,-2,506.2,506.2
4,0.866735,56.3099,-3,-2,0,506.2
5,0.773831,66.0375,4.5,-2,493.369,999.569
6,0.881866,66.0375,-4.5,-2,0,999.569
7,0.753496,71.5651,6,-2,480.404,1479.97
8,0.895515,71.5651,-6,-2,0,1479.97
9,0.73323,75.0686,7.5,-2,467.483,1947.46
10,0.907663,75.0686,-7.5,-2,0,1947.46
11,0.713282,77.4712,9,-2,454.765,2402.22
12,0.918348,77.4712,-9,-2,0,2402.22
13,0.693859,79.2157,10.5,-2,442.381,2844.6
14,0.927649,79.2157,-10.5,-2,591.438,3436.04
15,0.675122,80.5377,12,-2,430.435,3866.47
16,0.935674,80.5377,-12,-2,596.554,4463.03
17,0.657187,81.573,13.5,-2,419.001,4882.03
18,0.942545,81.573,-13.5,-2,600.935,5482.96
19,0.64013,82.4054,15,-2,408.125,5891.09
20,0.94839,82.4054,-15,-2,604.662,6495.75
21,0.62399,83.0888,16.5,-2,397.835,6893.59
22,0.953336,83.0888,-16.5,-2,607.815,7501.4
23,0.608777,83.6598,18,-2,388.136,7889.54
24,0.957501,83.6598,-18,-2,610.471,8500.01
25,0.594482,84.144,19.5,-2,379.022,8879.03
26,0.960994,84.144,-19.5,-2,612.698,9491.73
27,0.581079,84.5597,21,-2,370.476,9862.2
28,0.963912,84.5597,-21,-2,614.558,10476.8
29,0.56853,84.9204,22.5,-2,362.476,10839.2
30,0.966339,84.9204,-22.5,-2,616.106,11455.3
31,0.556793,85.2364,24,-2,354.993,11810.3
32,0.968351,85.2364,-24,-2,617.388,12427.7
33,0.54582,85.5154,25.5,-2,347.996,12775.7
34,0.970011,85.5154,-25.5,-2,618.446,13394.2
35,0.535561,85.7636,27,-2,341.456,13735.6
36,0.971373,85.7636,-27,-2,619.315,14354.9
37,0.525969,85.9858,28.5,-2,335.34,14690.3
38,0.972483,85.9858,-28.5,-2,620.022,15310.3
39,0.516996,86.1859,30,-2,329.619,15639.9
40,0.97338,86.1859,-30,-2,620.595,16260.5
41,0.508597,86.3671,31.5,-2,324.264,16584.8
42,0.974098,86.3671,-31.5,-2,621.052,17205.8
43,0.500728,86.5318,33,-2,319.248,17525.1
44,0.974665,86.5318,-33,-2,621.414,18146.5
45,0.493351,86.6822,34.5,-2,314.544,18461
46,0.975104,86.6822,-34.5,-2,621.694,19082.7
47,0.486428,86.8202,36,-2,310.13,19392.9
48,0.975435,86.8202,-36,-2,621.905,20014.8
49,0.479923,86.9471,37.5,-2,305.983,20320.7
50,0.975675,86.9471,-37.5,-2,622.058,20942.8
51,0.473805,87.0643,39,-2,302.082,21244.9
52,0.975838,87.0643,-39,-2,622.162,21867
53,0.468046,87.1729,40.5,-2,298.41,22165.5
54,0.975937,87.1729,-40.5,-2,622.224,22787.7
55,0.462617,87.2737,42,-2,294.949,23082.6
56,0.97598,87.2737,-42,-2,622.252,23704.9
57,0.457495,87.3676,43.5,-2,291.683,23996.6
58,0.975978,87.3676,-43.5,-2,622.251,24618.8
59,0.452656,87.4552,45,-2,288.598,24907.4
60,0.975936,87.4552,-45,-2,622.224,25529.6
61,0.44808,87.5372,46.5,-2,285.681,25815.3
62,0.975863,87.5372,-46.5,-2,622.177,26437.5
63,0.443748,87.6141,48,-2,282.919,26720.4
64,0.975762,87.6141,-48,-2,622.113,27342.5
65,0.439643,87.6863,49.5,-2,280.302,27622.8
66,0.975638,87.6863,-49.5,-2,622.034,28244.9
67,0.435749,87.7543,51,-2,277.819,28522.7
68,0.975495,87.7543,-51,-2,621.943,29144.6
69,0.43205,87.8184,52.5,-2,275.461,29420.1
70,0.975337,87.8184,-52.5,-2,621.842,30041.9
71,0.428534,87.8789,54,-2,273.219,30315.2
72,0.975165,87.8789,-54,-2,621.733,30936.9
73,0.425189,87.9362,55.5,-2,271.086,31208
74,0.974984,87.9362,-55.5,-2,621.617,31829.6
75,0.422002,87.9904,57,-2,269.054,32098.6
76,0.974793,87.9904,-57,-2,621.496,32720.1
77,0.418965,88.0419,58.5,-2,267.118,32987.3
78,0.974597,88.0419,-58.5,-2,621.37,33608.6
79,0.416066,88.0909,60,-2,265.27,33873.9
80,0.974394,88.0909,-60,-2,621.241,34495.1
81,0.413298,88.1374,61.5,-2,263.505,34758.6
82,0.974188,88.1374,-61.5,-2,621.11,35379.8
83,0.410652,88.1817,63,-2,261.818,35641.6
84,0.973979,88.1817,-63,-2,620.977,36262.5
85,0.408121,88.224,64.5,-2,260.204,36522.8
86,0.973768,88.224,-64.5,-2,620.842,37143.6
87,0.405698,88.2643,66,-2,258.659,37402.3
88,0.973556,88.2643,-66,-2,620.707,38023
89,0.403376,88.3028,67.5,-2,257.179,38280.1
90,0.973344,88.3028,-67.5,-2,620.571,38900.7
91,0.401149,88.3397,69,-2,255.759,39156.5
92,0.973132,88.3397,-69,-2,620.436,39776.9
93,0.399013,88.375,70.5,-2,254.397,40031.3
94,0.97292,88.375,-70.5,-2,620.301,40651.6
95,0.396961,88.4089,72,-2,253.089,40904.7
96,0.972709,88.4089,-72,-2,620.167,41524.9
97,0.39499,88.4413,73.5,-2,251.832,41776.7
98,0.9725,88.4413,-73.5,-2,620.033,42396.7
99,0.393094,88.4725,75,-2,250.624,42647.4
100,0.972292,88.4725,-75,-2,619.901,43267.3
101,0.841439,0,0,-3.5,536.473,43803.7
102,0.822978,23.1986,1.5,-3.5,524.703,44328.4
103,0.858845,23.1986,-1.5,-3.5,0,44328.4
104,0.803709,40.6013,3,-3.5,512.418,44840.8
105,0.874998,40.6013,-3,-3.5,0,44840.8
106,0.783908,52.125,4.5,-3.5,499.793,45340.6
107,0.889759,52.125,-4.5,-3.5,0,45340.6
108,0.763857,59.7436,6,-3.5,487.01,45827.7
109,0.903052,59.7436,-6,-3.5,0,45827.7
110,0.743831,64.9831,7.5,-3.5,474.242,46301.9
111,0.914866,64.9831,-7.5,-3.5,0,46301.9
112,0.724073,68.7495,9,-3.5,461.645,46763.5
113,0.925237,68.7495,-9,-3.5,0,46763.5
114,0.70479,71.5651,10.5,-3.5,449.351,47212.9
115,0.934247,71.5651,-10.5,-3.5,0,47212.9
116,0.686145,73.7398,12,-3.5,437.463,47650.4
117,0.942001,73.7398,-12,-3.5,0,47650.4
118,0.668255,75.4655,13.5,-3.5,426.057,48076.4
119,0.948621,75.4655,-13.5,-3.5,604.809,48681.2
120,0.651202,76.866,15,-3.5,415.184,49096.4
121,0.954233,76.866,-15,-3.5,608.387,49704.8
122,0.635029,78.0239,16.5,-3.5,404.873,50109.7
123,0.958962,78.0239,-16.5,-3.5,611.402,50721.1
124,0.619752,78.9965,18,-3.5,395.133,51116.2
125,0.962924,78.9965,-18,-3.5,613.928,51730.1
126,0.605367,79.8245,19.5,-3.5,385.962,52116.1
127,0.966227,79.8245,-19.5,-3.5,616.034,52732.1
128,0.591852,80.5377,21,-3.5,377.345,53109.5
129,0.968966,80.5377,-21,-3.5,617.78,53727.2
130,0.579175,81.1582,22.5,-3.5,369.262,54096.5
131,0.971226,81.1582,-22.5,-3.5,619.221,54715.7
132,0.567295,81.7029,24,-3.5,361.688,55077.4
133,0.97308,81.7029,-24,-3.5,620.403,55697.8
134,0.556169,82.1847,25.5,-3.5,354.595,56052.4
135,0.974589,82.1847,-25.5,-3.5,621.366,56673.8
136,0.54575,82.614,27,-3.5,347.952,57021.7
137,0.975809,82.614,-27,-3.5,622.143,57643.9
138,0.535993,82.9987,28.5,-3.5,341.731,57985.6
139,0.976785,82.9987,-28.5,-3.5,622.766,58608.4
140,0.526851,83.3456,30,-3.5,335.903,58944.3
141,0.977556,83.3456,-30,-3.5,623.257,59567.5
142,0.518282,83.6598,31.5,-3.5,330.439,59898
143,0.978153,83.6598,-31.5,-3.5,623.637,60521.6
144,0.510243,83.9458,33,-3.5,325.314,60846.9
145,0.978605,83.9458,-33,-3.5,623.926,61470.8
146,0.502696,84.2072,34.5,-3.5,320.502,61791.4
147,0.978934,84.2072,-34.5,-3.5,624.136,62415.5
148,0.495604,84.447,36,-3.5,315.98,62731.5
149,0.979161,84.447,-36,-3.5,624.28,63355.8
150,0.488933,84.6678,37.5,-3.5,311.727,63667.5
151,0.979302,84.6678,-37.5,-3.5,624.37,64291.8
152,0.482651,84.8718,39,-3.5,307.722,64599.6
153,0.97937,84.8718,-39,-3.5,624.414,65224
154,0.476731,85.0608,40.5,-3.5,303.947,65527.9
155,0.979378,85.0608,-40.5,-3.5,624.419,66152.4
156,0.471144,85.2364,42,-3.5,300.386,66452.7
157,0.979336,85.2364,-42,-3.5,624.392,67077.1
158,0.465868,85.3999,43.5,-3.5,297.022,67374.1
159,0.979251,85.3999,-43.5,-3.5,624.337,67998.5
160,0.460878,85.5526,45,-3.5,293.84,68292.3
161,0.979131,85.5526,-45,-3.5,624.261,68916.6
162,0.456155,85.6955,46.5,-3.5,290.829,69207.4
163,0.978981,85.6955,-46.5,-3.5,624.166,69831.6
164,0.45168,85.8296,48,-3.5,287.976,70119.6
165,0.978808,85.8296,-48,-3.5,624.055,70743.6
166,0.447435,85.9555,49.5,-3.5,285.269,71028.9
167,0.978615,85.9555,-49.5,-3.5,623.932,71652.8
168,0.443404,86.0741,51,-3.5,282.7,71935.5
169,0.978406,86.0741,-51,-3.5,623.799,72559.3
170,0.439573,86.1859,52.5,-3.5,280.257,72839.6
171,0.978184,86.1859,-52.5,-3.5,623.657,73463.2
172,0.435928,86.2916,54,-3.5,277.933,73741.1
173,0.977951,86.2916,-54,-3.5,623.509,74364.7
174,0.432457,86.3915,55.5,-3.5,275.72,74640.4
175,0.97771,86.3915,-55.5,-3.5,623.355,75263.7
176,0.429149,86.4863,57,-3.5,273.611,75537.3
177,0.977464,86.4863,-57,-3.5,623.198,76160.5
178,0.425993,86.5761,58.5,-3.5,271.599,76432.1
179,0.977212,86.5761,-58.5,-3.5,623.038,77055.2
180,0.422979,86.6615,60,-3.5,269.677,77324.9
181,0.976958,86.6615,-60,-3.5,622.876,77947.7
182,0.420099,86.7428,61.5,-3.5,267.841,78215.6
183,0.976701,86.7428,-61.5,-3.5,622.712,78838.3
184,0.417345,86.8202,63,-3.5,266.085,79104.4
185,0.976444,86.8202,-63,-3.5,622.548,79726.9
186,0.414708,86.894,64.5,-3.5,264.404,79991.3
187,0.976186,86.894,-64.5,-3.5,622.383,80613.7
188,0.412181,86.9644,66,-3.5,262.793,80876.5
189,0.975929,86.9644,-66,-3.5,622.219,81498.7
190,0.409759,87.0318,67.5,-3.5,261.249,81760
191,0.975673,87.0318,-67.5,-3.5,622.056,82382
192,0.407435,87.0962,69,-3.5,259.767,82641.8
193,0.975418,87.0962,-69,-3.5,621.894,83263.7
194,0.405204,87.1579,70.5,-3.5,258.345,83522
195,0.975166,87.1579,-70.5,-3.5,621.733,84143.8
