i,j,x,y,power
0,0,0,-2,0
1,0,-1.5,-2,0
2,0,3,-2,282.799
3,0,-4.5,-2,386.596
4,0,6,-2,451.274
5,0,-7.5,-2,495.121
6,0,9,-2,520.29
7,0,-10.5,-2,554.209
8,0,12,-2,569.109
9,0,-13.5,-2,575.411
10,0,15,-2,571.775
11,0,-16.5,-2,567.692
12,0,18,-2,563.659
13,0,-19.5,-2,559.71
14,0,21,-2,555.874
15,0,-22.5,-2,552.166
16,0,24,-2,548.599
17,0,-25.5,-2,545.179
18,0,27,-2,541.908
19,0,-28.5,-2,538.786
20,0,30,-2,535.81
21,0,-31.5,-2,532.976
22,0,33,-2,530.279
23,0,-34.5,-2,527.712
24,0,36,-2,525.271
25,0,-37.5,-2,522.949
26,0,39,-2,520.739
27,0,-40.5,-2,518.635
28,0,42,-2,516.631
29,0,-43.5,-2,514.723
30,0,45,-2,512.903
31,0,-46.5,-2,511.168
32,0,48,-2,509.511
33,0,-49.5,-2,507.93
34,0,51,-2,506.418
35,0,-52.5,-2,504.972
36,0,54,-2,503.589
37,0,-55.5,-2,502.264
38,0,57,-2,500.995
39,0,-58.5,-2,499.778
40,0,60,-2,498.61
41,0,-61.5,-2,497.489
42,0,63,-2,496.412
43,0,-64.5,-2,495.377
44,0,66,-2,494.381
45,0,-67.5,-2,493.422
46,0,69,-2,492.499
47,0,-70.5,-2,491.609
48,0,72,-2,490.752
49,0,-73.5,-2,489.924
50,0,75,-2,489.125
51,0,-76.5,-2,488.354
52,0,78,-2,487.609
53,0,-79.5,-2,486.888
54,0,81,-2,486.192
55,0,-82.5,-2,485.517
56,0,84,-2,484.864
57,0,-85.5,-2,484.232
58,0,87,-2,483.619
59,0,-88.5,-2,483.025
60,0,90,-2,482.449
61,0,-91.5,-2,481.89
62,0,93,-2,481.347
63,0,-94.5,-2,480.82
64,0,96,-2,480.308
65,0,-97.5,-2,479.811
66,0,99,-2,479.327
67,0,-100.5,-2,478.857
68,0,102,-2,478.399
69,0,-103.5,-2,477.954
70,0,105,-2,477.52
71,0,-106.5,-2,477.098
72,0,108,-2,476.687
73,0,-109.5,-2,476.286
74,0,111,-2,475.895
75,0,-112.5,-2,475.514
76,0,114,-2,475.142
77,0,-115.5,-2,474.78
78,0,117,-2,474.426
79,0,-118.5,-2,474.081
80,0,120,-2,473.743
81,0,-121.5,-2,473.414
82,0,123,-2,473.092
83,0,-124.5,-2,472.778
84,0,126,-2,472.47
85,0,-127.5,-2,472.169
86,0,129,-2,471.875
87,0,-130.5,-2,471.588
88,0,132,-2,471.307
89,0,-133.5,-2,471.031
90,0,135,-2,470.762
91,0,-136.5,-2,470.498
92,0,138,-2,470.239
93,0,-139.5,-2,469.986
94,0,141,-2,469.738
95,0,-142.5,-2,469.496
96,0,144,-2,469.257
97,0,-145.5,-2,469.024
98,0,147,-2,468.795
99,0,-148.5,-2,468.571
0,1,0,-3.5,96.3675
1,1,-1.5,-3.5,199.878
2,1,3,-3.5,304.236
3,1,-4.5,-3.5,354.693
4,1,6,-3.5,404.105
5,1,-7.5,-3.5,451.579
6,1,9,-3.5,480.007
7,1,-10.5,-3.5,506.601
8,1,12,-3.5,530.702
9,1,-13.5,-3.5,551.251
10,1,15,-3.5,566.422
11,1,-16.5,-3.5,568.919
12,1,18,-3.5,568.717
13,1,-19.5,-3.5,565.128
14,1,21,-3.5,561.182
15,1,-22.5,-3.5,557.364
16,1,24,-3.5,553.685
17,1,-25.5,-3.5,550.154
18,1,27,-3.5,546.773
19,1,-28.5,-3.5,543.542
20,1,30,-3.5,540.459
21,1,-31.5,-3.5,537.52
22,1,33,-3.5,534.72
23,1,-34.5,-3.5,532.054
24,1,36,-3.5,529.516
25,1,-37.5,-3.5,527.099
26,1,39,-3.5,524.798
27,1,-40.5,-3.5,522.606
28,1,42,-3.5,520.517
29,1,-43.5,-3.5,518.526
30,1,45,-3.5,516.627
31,1,-46.5,-3.5,514.814
32,1,48,-3.5,513.083
33,1,-49.5,-3.5,511.429
34,1,51,-3.5,509.847
35,1,-52.5,-3.5,508.334
36,1,54,-3.5,506.886
37,1,-55.5,-3.5,505.498
38,1,57,-3.5,504.168
39,1,-58.5,-3.5,502.892
40,1,60,-3.5,501.668
