i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,285.41
4,0,3.00,-2.00,285.41
5,0,-4.50,-2.00,391.16
6,0,4.50,-2.00,391.16
7,0,-6.00,-2.00,457.54
8,0,6.00,-2.00,457.54
9,0,-7.50,-2.00,502.96
10,0,7.50,-2.00,502.96
11,0,-9.00,-2.00,530.11
12,0,9.00,-2.00,530.11
13,0,-10.50,-2.00,564.80
14,0,10.50,-2.00,564.80
15,0,-12.00,-2.00,581.52
16,0,12.00,-2.00,581.52
17,0,-13.50,-2.00,590.29
18,0,13.50,-2.00,590.29
19,0,-15.00,-2.00,590.26
20,0,15.00,-2.00,590.26
21,0,-16.50,-2.00,589.80
22,0,16.50,-2.00,589.80
23,0,-18.00,-2.00,589.30
24,0,18.00,-2.00,589.30
25,0,-19.50,-2.00,588.76
26,0,19.50,-2.00,588.76
27,0,-21.00,-2.00,588.19
28,0,21.00,-2.00,588.19
29,0,-22.50,-2.00,587.58
30,0,22.50,-2.00,587.58
31,0,-24.00,-2.00,586.94
32,0,24.00,-2.00,586.94
33,0,-25.50,-2.00,586.27
34,0,25.50,-2.00,586.27
35,0,-27.00,-2.00,585.56
36,0,27.00,-2.00,585.56
37,0,-28.50,-2.00,584.83
38,0,28.50,-2.00,584.83
39,0,-30.00,-2.00,584.08
40,0,30.00,-2.00,584.08
41,0,-31.50,-2.00,583.29
42,0,31.50,-2.00,583.29
43,0,-33.00,-2.00,582.49
44,0,33.00,-2.00,582.49
45,0,-34.50,-2.00,581.66
46,0,34.50,-2.00,581.66
47,0,-36.00,-2.00,580.81
48,0,36.00,-2.00,580.81
49,0,-37.50,-2.00,579.94
50,0,37.50,-2.00,579.94
51,0,-39.00,-2.00,579.06
52,0,39.00,-2.00,579.06
53,0,-40.50,-2.00,578.16
54,0,40.50,-2.00,578.16
55,0,-42.00,-2.00,577.24
56,0,42.00,-2.00,577.24
57,0,-43.50,-2.00,576.31
58,0,43.50,-2.00,576.31
59,0,-45.00,-2.00,575.37
60,0,45.00,-2.00,575.37
61,0,-46.50,-2.00,574.42
62,0,46.50,-2.00,574.42
63,0,-48.00,-2.00,573.47
64,0,48.00,-2.00,573.47
65,0,-49.50,-2.00,572.50
66,0,49.50,-2.00,572.50
67,0,-51.00,-2.00,571.53
68,0,51.00,-2.00,571.53
69,0,-52.50,-2.00,570.55
70,0,52.50,-2.00,570.55
71,0,-54.00,-2.00,569.57
72,0,54.00,-2.00,569.57
73,0,-55.50,-2.00,568.58
74,0,55.50,-2.00,568.58
75,0,-57.00,-2.00,567.59
76,0,57.00,-2.00,567.59
77,0,-58.50,-2.00,566.61
78,0,58.50,-2.00,566.61
79,0,-60.00,-2.00,565.62
80,0,60.00,-2.00,565.62
81,0,-61.50,-2.00,564.63
82,0,61.50,-2.00,564.63
83,0,-63.00,-2.00,563.64
84,0,63.00,-2.00,563.64
85,0,-64.50,-2.00,562.65
86,0,64.50,-2.00,562.65
87,0,-66.00,-2.00,561.67
88,0,66.00,-2.00,561.67
89,0,-67.50,-2.00,560.69
90,0,67.50,-2.00,560.69
91,0,-69.00,-2.00,559.72
92,0,69.00,-2.00,559.72
93,0,-70.50,-2.00,558.75
94,0,70.50,-2.00,558.75
95,0,-72.00,-2.00,557.78
96,0,72.00,-2.00,557.78
97,0,-73.50,-2.00,556.82
98,0,73.50,-2.00,556.82
99,0,-75.00,-2.00,555.86
0,1,0.00,-3.50,94.45
1,1,-1.50,-3.50,198.50
2,1,1.50,-3.50,198.50
3,1,-3.00,-3.50,304.30
4,1,3.00,-3.50,304.30
5,1,-4.50,-3.50,357.12
6,1,4.50,-3.50,357.12
7,1,-6.00,-3.50,408.78
8,1,6.00,-3.50,408.78
9,1,-7.50,-3.50,458.13
10,1,7.50,-3.50,458.13
11,1,-9.00,-3.50,488.83
12,1,9.00,-3.50,488.83
13,1,-10.50,-3.50,517.45
14,1,10.50,-3.50,517.45
15,1,-12.00,-3.50,543.32
16,1,12.00,-3.50,543.32
17,1,-13.50,-3.50,565.49
18,1,13.50,-3.50,565.49
19,1,-15.00,-3.50,582.37
20,1,15.00,-3.50,582.37
21,1,-16.50,-3.50,587.78
22,1,16.50,-3.50,587.78
23,1,-18.00,-3.50,590.69
24,1,18.00,-3.50,590.69
25,1,-19.50,-3.50,590.55
26,1,19.50,-3.50,590.55
27,1,-21.00,-3.50,589.97
28,1,21.00,-3.50,589.97
29,1,-22.50,-3.50,589.36
30,1,22.50,-3.50,589.36
31,1,-24.00,-3.50,588.71
32,1,24.00,-3.50,588.71
33,1,-25.50,-3.50,588.03
34,1,25.50,-3.50,588.03
35,1,-27.00,-3.50,587.32
36,1,27.00,-3.50,587.32
37,1,-28.50,-3.50,586.59
38,1,28.50,-3.50,586.59
39,1,-30.00,-3.50,585.82
40,1,30.00,-3.50,585.82
41,1,-31.50,-3.50,585.03
42,1,31.50,-3.50,585.03
43,1,-33.00,-3.50,584.22
44,1,33.00,-3.50,584.22
45,1,-34.50,-3.50,583.38
46,1,34.50,-3.50,583.38
47,1,-36.00,-3.50,582.53
48,1,36.00,-3.50,582.53
49,1,-37.50,-3.50,581.65
50,1,37.50,-3.50,581.65
51,1,-39.00,-3.50,580.76
52,1,39.00,-3.50,580.76
53,1,-40.50,-3.50,579.85
54,1,40.50,-3.50,579.85
55,1,-42.00,-3.50,578.93
56,1,42.00,-3.50,578.93
57,1,-43.50,-3.50,577.99
58,1,43.50,-3.50,577.99
59,1,-45.00,-3.50,577.04
60,1,45.00,-3.50,577.04
61,1,-46.50,-3.50,576.09
62,1,46.50,-3.50,576.09
63,1,-48.00,-3.50,575.12
64,1,48.00,-3.50,575.12
65,1,-49.50,-3.50,574.14
66,1,49.50,-3.50,574.14
67,1,-51.00,-3.50,573.16
68,1,51.00,-3.50,573.16
69,1,-52.50,-3.50,572.17
70,1,52.50,-3.50,572.17
71,1,-54.00,-3.50,571.18
72,1,54.00,-3.50,571.18
73,1,-55.50,-3.50,570.19
74,1,55.50,-3.50,570.19
75,1,-57.00,-3.50,569.19
76,1,57.00,-3.50,569.19
77,1,-58.50,-3.50,568.19
78,1,58.50,-3.50,568.19
79,1,-60.00,-3.50,567.19
80,1,60.00,-3.50,567.19
81,1,-61.50,-3.50,566.20
82,1,61.50,-3.50,566.20
83,1,-63.00,-3.50,565.20
84,1,63.00,-3.50,565.20
85,1,-64.50,-3.50,564.20
86,1,64.50,-3.50,564.20
87,1,-66.00,-3.50,563.21
88,1,66.00,-3.50,563.21
89,1,-67.50,-3.50,562.22
90,1,67.50,-3.50,562.22
91,1,-69.00,-3.50,561.24
92,1,69.00,-3.50,561.24
93,1,-70.50,-3.50,560.26
94,1,70.50,-3.50,560.26
95,1,-72.00,-3.50,559.28
96,1,72.00,-3.50,559.28
97,1,-73.50,-3.50,558.31
98,1,73.50,-3.50,558.31
99,1,-75.00,-3.50,557.34
0,2,0.00,-5.00,331.40
1,2,-1.50,-5.00,336.62
2,2,1.50,-5.00,336.62
3,2,-3.00,-5.00,323.54
4,2,3.00,-5.00,323.54
5,2,-4.50,-5.00,340.67
6,2,4.50,-5.00,340.67
7,2,-6.00,-5.00,392.63
8,2,6.00,-5.00,392.63
