i,j,x,y,power
0,0,0.00,-2.00,0.00
1,0,-1.50,-2.00,0.00
2,0,1.50,-2.00,0.00
3,0,-3.00,-2.00,282.80
4,0,3.00,-2.00,282.80
5,0,-4.50,-2.00,386.60
6,0,4.50,-2.00,386.60
7,0,-6.00,-2.00,451.27
8,0,6.00,-2.00,451.27
9,0,-7.50,-2.00,495.12
10,0,7.50,-2.00,495.12
11,0,-9.00,-2.00,520.29
12,0,9.00,-2.00,520.29
13,0,-10.50,-2.00,554.21
14,0,10.50,-2.00,554.21
15,0,-12.00,-2.00,569.11
16,0,12.00,-2.00,569.11
17,0,-13.50,-2.00,575.41
18,0,13.50,-2.00,575.41
19,0,-15.00,-2.00,571.77
0,1,0.00,-3.50,96.37
1,1,-1.50,-3.50,199.88
2,1,1.50,-3.50,199.88
3,1,-3.00,-3.50,304.24
4,1,3.00,-3.50,304.24
5,1,-4.50,-3.50,354.69
6,1,4.50,-3.50,354.69
7,1,-6.00,-3.50,404.11
8,1,6.00,-3.50,404.11
9,1,-7.50,-3.50,451.58
10,1,7.50,-3.50,451.58
11,1,-9.00,-3.50,480.01
12,1,9.00,-3.50,480.01
13,1,-10.50,-3.50,506.60
14,1,10.50,-3.50,506.60
15,1,-12.00,-3.50,530.70
16,1,12.00,-3.50,530.70
17,1,-13.50,-3.50,551.25
18,1,13.50,-3.50,551.25
19,1,-15.00,-3.50,566.42
0,2,0.00,-5.00,339.96
1,2,-1.50,-5.00,344.19
2,2,1.50,-5.00,344.19
3,2,-3.00,-5.00,327.34
4,2,3.00,-5.00,327.34
5,2,-4.50,-5.00,340.18
6,2,4.50,-5.00,340.18
7,2,-6.00,-5.00,390.05
8,2,6.00,-5.00,390.05
9,2,-7.50,-5.00,421.14
10,2,7.50,-5.00,421.14
11,2,-9.00,-5.00,451.18
12,2,9.00,-5.00,451.18
13,2,-10.50,-5.00,479.87
14,2,10.50,-5.00,479.87
15,2,-12.00,-5.00,491.15
16,2,12.00,-5.00,491.15
17,2,-13.50,-5.00,516.93
18,2,13.50,-5.00,516.93
19,2,-15.00,-5.00,539.77
0,3,0.00,-6.50,413.28
1,3,-1.50,-6.50,414.62
2,3,1.50,-6.50,414.62
3,3,-3.00,-6.50,400.29
4,3,3.00,-6.50,400.29
5,3,-4.50,-6.50,408.31
6,3,4.50,-6.50,408.31
7,3,-6.00,-6.50,403.92
8,3,6.00,-6.50,403.92
9,3,-7.50,-6.50,417.34
10,3,7.50,-6.50,417.34
11,3,-9.00,-6.50,419.97
12,3,9.00,-6.50,419.97
13,3,-10.50,-6.50,450.25
14,3,10.50,-6.50,450.25
15,3,-12.00,-6.50,462.46
16,3,12.00,-6.50,462.46
17,3,-13.50,-6.50,490.62
18,3,13.50,-6.50,490.62
19,3,-15.00,-6.50,501.60
0,4,0.00,-8.00,488.97
1,4,-1.50,-8.00,471.01
2,4,1.50,-8.00,471.01
3,4,-3.00,-8.00,453.05
4,4,3.00,-8.00,453.05
5,4,-4.50,-8.00,454.23
6,4,4.50,-8.00,454.23
7,4,-6.00,-8.00,440.95
8,4,6.00,-8.00,440.95
9,4,-7.50,-8.00,445.71
10,4,7.50,-8.00,445.72
11,4,-9.00,-8.00,435.02
12,4,9.00,-8.00,435.02
13,4,-10.50,-8.00,447.09
14,4,10.50,-8.00,447.09
15,4,-12.00,-8.00,453.24
16,4,12.00,-8.00,453.24
17,4,-13.50,-8.00,461.30
18,4,13.50,-8.00,461.30
19,4,-15.00,-8.00,473.35
0,5,0.00,-9.50,491.46
1,5,-1.50,-9.50,491.54
2,5,1.50,-9.50,491.54
3,5,-3.00,-9.50,490.96
4,5,3.00,-9.50,490.96
5,5,-4.50,-9.50,490.99
6,5,4.50,-9.50,490.99
7,5,-6.00,-9.50,472.81
8,5,6.00,-9.50,472.81
9,5,-7.50,-9.50,474.20
10,5,7.50,-9.50,474.20
11,5,-9.00,-9.50,458.57
12,5,9.00,-9.50,458.57
13,5,-10.50,-9.50,458.70
14,5,10.50,-9.50,458.70
15,5,-12.00,-9.50,465.08
16,5,12.00,-9.50,465.08
17,5,-13.50,-9.50,467.45
18,5,13.50,-9.50,467.45
19,5,-15.00,-9.50,464.31
0,6,0.00,-11.00,530.72
1,6,-1.50,-11.00,511.90
2,6,1.50,-11.00,511.90
3,6,-3.00,-11.00,530.03
4,6,3.00,-11.00,530.03
5,6,-4.50,-11.00,510.87
6,6,4.50,-11.00,510.87
7,6,-6.00,-11.00,509.55
8,6,6.00,-11.00,509.55
9,6,-7.50,-11.00,490.78
10,6,7.50,-11.00,490.78
11,6,-9.00,-11.00,507.86
12,6,9.00,-11.00,507.86
13,6,-10.50,-11.00,490.53
14,6,10.50,-11.00,490.53
15,6,-12.00,-11.00,489.64
16,6,12.00,-11.00,489.64
17,6,-13.50,-11.00,475.70
18,6,13.50,-11.00,475.70
19,6,-15.00,-11.00,476.76
0,7,0.00,-12.50,532.31
1,7,-1.50,-12.50,532.06
2,7,1.50,-12.50,532.06
3,7,-3.00,-12.50,512.86
4,7,3.00,-12.50,512.86
5,7,-4.50,-12.50,530.66
6,7,4.50,-12.50,530.66
7,7,-6.00,-12.50,529.23
8,7,6.00,-12.50,529.23
9,7,-7.50,-12.50,527.48
10,7,7.50,-12.50,527.48
11,7,-9.00,-12.50,508.26
12,7,9.00,-12.50,508.26
13,7,-10.50,-12.50,506.52
14,7,10.50,-12.50,506.52
15,7,-12.00,-12.50,504.82
16,7,12.00,-12.50,504.82
17,7,-13.50,-12.50,488.06
18,7,13.50,-12.50,488.06
19,7,-15.00,-12.50,487.52
0,8,0.00,-14.00,533.48
1,8,-1.50,-14.00,533.25
2,8,1.50,-14.00,533.25
3,8,-3.00,-14.00,551.43
4,8,3.00,-14.00,551.43
5,8,-4.50,-14.00,550.32
6,8,4.50,-14.00,550.32
7,8,-6.00,-14.00,548.82
8,8,6.00,-14.00,548.82
9,8,-7.50,-14.00,546.99
10,8,7.50,-14.00,546.99
11,8,-9.00,-14.00,527.25
12,8,9.00,-14.00,527.25
13,8,-10.50,-14.00,525.30
14,8,10.50,-14.00,525.30
15,8,-12.00,-14.00,504.91
16,8,12.00,-14.00,504.91
17,8,-13.50,-14.00,503.16
18,8,13.50,-14.00,503.16
19,8,-15.00,-14.00,501.60
0,9,0.00,-15.50,571.91
1,9,-1.50,-15.50,571.68
2,9,1.50,-15.50,571.68
3,9,-3.00,-15.50,552.11
4,9,3.00,-15.50,552.11
5,9,-4.50,-15.50,550.98
6,9,4.50,-15.50,550.98
7,9,-6.00,-15.50,531.10
8,9,6.00,-15.50,531.10
9,9,-7.50,-15.50,529.46
10,9,7.50,-15.50,529.46
11,9,-9.00,-15.50,527.61
12,9,9.00,-15.50,527.61
13,9,-10.50,-15.50,525.61
14,9,10.50,-15.50,525.61
15,9,-12.00,-15.50,523.55
16,9,12.00,-15.50,523.55
17,9,-13.50,-15.50,521.52
18,9,13.50,-15.50,521.52
19,9,-15.00,-15.50,519.59
0,10,0.00,-17.00,572.41
1,10,-1.50,-17.00,572.20
2,10,1.50,-17.00,572.20
3,10,-3.00,-17.00,571.55
4,10,3.00,-17.00,571.55
5,10,-4.50,-17.00,570.50
6,10,4.50,-17.00,570.50
7,10,-6.00,-17.00,569.08
8,10,6.00,-17.00,569.08
