Data export from Solartopo.com:

Date;21-6-2021;dd.mm.yyyy
UTC;-2;h
Longitude;-39.0453843;Degree
Latitude;-14.792599;Degree
Altitude;0;m

Time;Zenith;Azimuth
0:0;-77.556304319479;315.44006081037
0:15;-79.799646315955;328.81638942108
0:30;-81.15304502261;348.06554664777
0:45;-81.195357991695;10.62526989844
1:0;-79.910060148616;30.201152385086
1:15;-77.707203931195;43.910222321083
1:30;-74.986121188251;52.87730397316
1:45;-71.981036855326;58.79138692335
2:0;-68.813568844005;62.803112574715
2:15;-65.547970674722;65.597063148539
2:30;-62.220156518268;67.578783227446
2:45;-58.851478929961;68.99589600474
3:0;-55.455393838173;70.00531138737
3:15;-52.040846274141;70.710031432981
3:30;-48.61408394926;71.179794887202
3:45;-45.179681325032;71.463055275951
4:0;-41.741145363248;71.594177368786
4:15;-38.301288443422;71.597904249116
4:30;-34.862469479645;71.492212415197
4:45;-31.426755834006;71.290183845906
5:0;-27.996035519508;71.001259862
5:15;-24.57210081797;70.632095113887
5:30;-21.156713267083;70.187145748104
5:45;-17.7516559359;69.66907576437
6:0;-14.358780677655;69.079035911435
6:15;-10.980052484131;68.41685028788
6:30;-7.617592288133;67.681133590618
6:45;-4.1534136607228;66.869354935201
7:0;-0.31269424640267;65.977858371403
7:15;2.6084828060339;65.001846550097
7:30;5.7663791273505;63.935332828669
7:45;8.9598645607774;62.771064930534
8:0;12.140069502813;61.500422571928
8:15;15.289724213976;60.11329334757
8:30;18.398582316835;58.597931679617
8:45;21.458028909917;56.940808621324
9:0;24.459385311883;55.126467741258
9:15;27.393163706852;53.137409775523
9:30;30.24861319621;50.954041842458
9:45;33.013359969389;48.5547488651
10:0;35.67308174974;45.916169383611
10:15;38.21120805137;43.013790325598
10:30;40.608665229247;39.823013603942
10:45;42.843716682921;36.320870467452
11:0;44.891978225436;32.48855050897
11:15;46.726715276202;28.314834422973
11:30;48.3195494655;23.800310469564
11:45;49.64168739803;18.9618913555
12:0;50.665710240385;13.836676443215
12:15;51.367819847211;8.4837909651683
12:30;51.730238167137;2.9828197380294
12:45;51.743281541609;357.42814228511
13:0;51.406594603581;351.9198029447
13:15;50.729196962489;346.55294864642
13:30;49.728329015757;341.40850853811
13:45;48.427423162579;336.54723089668
14:0;46.853710549192;332.00782278495
14:15;45.035950597244;327.80858005906
14:30;43.002601641738;323.95114968403
14:45;40.780550474673;320.42503691023
15:0;38.394370367187;317.21186618732
15:15;35.865997890633;314.28887973828
15:30;33.214700595619;311.63153231657
15:45;30.457226964528;309.21526084831
16:0;27.608056343612;307.0165928917
16:15;24.679696341647;305.01377078252
16:30;21.683006654416;303.1870468019
16:45;18.627555132841;301.5187665546
17:0;15.522060524138;299.99332498902
17:15;12.375103219347;298.59705443713
17:30;9.1967018972426;297.31808169193
17:45;6.003203697853;296.14617764133
18:0;2.838955872334;295.07261522824
18:15;-0.10906805323378;294.09004385618
18:30;-3.8491443244071;293.19238522565
18:45;-7.3687990882338;292.37475497694
19:0;-10.729990438884;291.63341255387
19:15;-14.107616991094;290.96574233925
19:30;-17.499544601405;290.37027122723
19:45;-20.903798408753;289.84672888243
20:0;-24.318519959771;289.39616049905
20:15;-27.741922968173;289.02110752417
20:30;-31.172246400623;288.725878583
20:45;-34.607702844039;288.51694468011
21:0;-38.046414605635;288.40351130491
21:15;-41.486331846362;288.3983486571
21:30;-44.925123182945;288.51900938839
21:45;-48.360018309679;288.78964423902
22:0;-51.787574369334;289.24376637303
22:15;-55.203315761879;289.92856784848
22:30;-58.601150803513;290.91185785161
22:45;-61.972388800841;292.29358265632
23:0;-65.304005619305;294.22563050122
23:15;-68.575418025607;296.94706182495
23:30;-71.75215825521;300.84838644934
23:45;-74.772836379422;306.58785143149
